Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,677.22
2011-02,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,565.96
2011-03,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,514.94
2011-04,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,440
2011-05,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,358
2011-06,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,214
2011-07,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,310
2011-08,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,838
2011-09,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,362.73
2011-10,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,454.43
2011-11,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,377.77
2011-12,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,470.36
2012-01,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,653.13
2012-02,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,596.23
2012-03,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,683.55
2012-04,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,1300.56
2012-05,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,431.32
2012-06,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,375.53
2012-07,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,216.87
2012-08,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,522.54
2012-09,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,889.68
2012-10,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,481.17
2012-11,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,603
2012-12,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,527
2013-01,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,519.68
2013-02,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,410.61
2013-03,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,524.72
2013-04,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,400.84
2013-05,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,454.56
2013-06,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,319.86
2013-07,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,417.64
2013-08,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,970.98
2013-09,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,1130.89
2013-10,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,779.59
2013-11,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,707.57
2013-12,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,594.2
2014-01,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,624.43
2014-02,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,402.43
2014-03,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,569.37
2014-04,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,544.88
2014-05,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,489
2014-06,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,549.91
2014-07,NORTH EASTERN,ARUNACHAL PRADESH,HYDRO,1116.33
