Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTH EASTERN,ASSAM,HYDRO,653.22
2011-02,NORTH EASTERN,ASSAM,HYDRO,541.96
2011-03,NORTH EASTERN,ASSAM,HYDRO,490.94
2011-04,NORTH EASTERN,ASSAM,HYDRO,416
2011-05,NORTH EASTERN,ASSAM,HYDRO,334
2011-06,NORTH EASTERN,ASSAM,HYDRO,190
2011-07,NORTH EASTERN,ASSAM,HYDRO,286
2011-08,NORTH EASTERN,ASSAM,HYDRO,814
2011-09,NORTH EASTERN,ASSAM,HYDRO,338.73
2011-10,NORTH EASTERN,ASSAM,HYDRO,430.43
2011-11,NORTH EASTERN,ASSAM,HYDRO,353.77
2011-12,NORTH EASTERN,ASSAM,HYDRO,446.36
2012-01,NORTH EASTERN,ASSAM,HYDRO,629.13
2012-02,NORTH EASTERN,ASSAM,HYDRO,572.23
2012-03,NORTH EASTERN,ASSAM,HYDRO,659.55
2012-04,NORTH EASTERN,ASSAM,HYDRO,1276.56
2012-05,NORTH EASTERN,ASSAM,HYDRO,407.32
2012-06,NORTH EASTERN,ASSAM,HYDRO,351.53
2012-07,NORTH EASTERN,ASSAM,HYDRO,192.87
2012-08,NORTH EASTERN,ASSAM,HYDRO,498.54
2012-09,NORTH EASTERN,ASSAM,HYDRO,865.68
2012-10,NORTH EASTERN,ASSAM,HYDRO,457.17
2012-11,NORTH EASTERN,ASSAM,HYDRO,579
2012-12,NORTH EASTERN,ASSAM,HYDRO,503
2013-01,NORTH EASTERN,ASSAM,HYDRO,495.68
2013-02,NORTH EASTERN,ASSAM,HYDRO,386.61
2013-03,NORTH EASTERN,ASSAM,HYDRO,500.72
2013-04,NORTH EASTERN,ASSAM,HYDRO,376.84
2013-05,NORTH EASTERN,ASSAM,HYDRO,430.56
2013-06,NORTH EASTERN,ASSAM,HYDRO,295.86
2013-07,NORTH EASTERN,ASSAM,HYDRO,393.64
2013-08,NORTH EASTERN,ASSAM,HYDRO,946.98
2013-09,NORTH EASTERN,ASSAM,HYDRO,1106.89
2013-10,NORTH EASTERN,ASSAM,HYDRO,755.59
2013-11,NORTH EASTERN,ASSAM,HYDRO,683.57
2013-12,NORTH EASTERN,ASSAM,HYDRO,570.2
2014-01,NORTH EASTERN,ASSAM,HYDRO,600.43
2014-02,NORTH EASTERN,ASSAM,HYDRO,378.43
2014-03,NORTH EASTERN,ASSAM,HYDRO,545.37
2014-04,NORTH EASTERN,ASSAM,HYDRO,520.88
2014-05,NORTH EASTERN,ASSAM,HYDRO,465
2014-06,NORTH EASTERN,ASSAM,HYDRO,525.91
2014-07,NORTH EASTERN,ASSAM,HYDRO,1092.33
2014-08,NORTH EASTERN,ASSAM,HYDRO,1323.94
2014-09,NORTH EASTERN,ASSAM,HYDRO,1021.18
2014-10,NORTH EASTERN,ASSAM,HYDRO,867.72
2014-11,NORTH EASTERN,ASSAM,HYDRO,689.1
2014-12,NORTH EASTERN,ASSAM,HYDRO,704.96
2015-01,NORTH EASTERN,ASSAM,HYDRO,525.58
2015-02,NORTH EASTERN,ASSAM,HYDRO,386.61
2015-03,NORTH EASTERN,ASSAM,HYDRO,372.81
2015-04,NORTH EASTERN,ASSAM,HYDRO,306.84
2015-05,NORTH EASTERN,ASSAM,HYDRO,341.51
2015-06,NORTH EASTERN,ASSAM,HYDRO,473.63
2015-07,NORTH EASTERN,ASSAM,HYDRO,497.19
2015-08,NORTH EASTERN,ASSAM,HYDRO,1068.39
2015-09,NORTH EASTERN,ASSAM,HYDRO,1370.54
2015-10,NORTH EASTERN,ASSAM,HYDRO,812.68
2015-11,NORTH EASTERN,ASSAM,HYDRO,623.35
2015-12,NORTH EASTERN,ASSAM,HYDRO,582.07
2016-01,NORTH EASTERN,ASSAM,HYDRO,426.63
2016-02,NORTH EASTERN,ASSAM,HYDRO,381.73
2016-03,NORTH EASTERN,ASSAM,HYDRO,253.05
2016-04,NORTH EASTERN,ASSAM,HYDRO,295.44
2016-05,NORTH EASTERN,ASSAM,HYDRO,135
2016-06,NORTH EASTERN,ASSAM,HYDRO,858.76
2016-07,NORTH EASTERN,ASSAM,HYDRO,1362.1
2016-08,NORTH EASTERN,ASSAM,HYDRO,826.94
2016-09,NORTH EASTERN,ASSAM,HYDRO,844.78
2016-10,NORTH EASTERN,ASSAM,HYDRO,584.79
2016-11,NORTH EASTERN,ASSAM,HYDRO,574.08
2016-12,NORTH EASTERN,ASSAM,HYDRO,587
