Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,EASTERN,BIHAR,HYDRO,687.22
2011-02,EASTERN,BIHAR,HYDRO,575.96
2011-03,EASTERN,BIHAR,HYDRO,524.94
2011-04,EASTERN,BIHAR,HYDRO,450
2011-05,EASTERN,BIHAR,HYDRO,368
2011-06,EASTERN,BIHAR,HYDRO,224
2011-07,EASTERN,BIHAR,HYDRO,320
2011-08,EASTERN,BIHAR,HYDRO,848
2011-09,EASTERN,BIHAR,HYDRO,372.73
2011-10,EASTERN,BIHAR,HYDRO,464.43
2011-11,EASTERN,BIHAR,HYDRO,387.77
2011-12,EASTERN,BIHAR,HYDRO,480.36
2012-01,EASTERN,BIHAR,HYDRO,663.13
2012-02,EASTERN,BIHAR,HYDRO,606.23
2012-03,EASTERN,BIHAR,HYDRO,693.55
2012-04,EASTERN,BIHAR,HYDRO,1310.56
2012-05,EASTERN,BIHAR,HYDRO,441.32
2012-06,EASTERN,BIHAR,HYDRO,385.53
2012-07,EASTERN,BIHAR,HYDRO,226.87
2012-08,EASTERN,BIHAR,HYDRO,532.54
2012-09,EASTERN,BIHAR,HYDRO,899.68
2012-10,EASTERN,BIHAR,HYDRO,491.17
2012-11,EASTERN,BIHAR,HYDRO,613
2012-12,EASTERN,BIHAR,HYDRO,537
2013-01,EASTERN,BIHAR,HYDRO,529.68
2013-02,EASTERN,BIHAR,HYDRO,420.61
2013-03,EASTERN,BIHAR,HYDRO,534.72
2013-04,EASTERN,BIHAR,HYDRO,410.84
2013-05,EASTERN,BIHAR,HYDRO,464.56
2013-06,EASTERN,BIHAR,HYDRO,329.86
2013-07,EASTERN,BIHAR,HYDRO,427.64
2013-08,EASTERN,BIHAR,HYDRO,980.98
2013-09,EASTERN,BIHAR,HYDRO,1140.89
2013-10,EASTERN,BIHAR,HYDRO,789.59
2013-11,EASTERN,BIHAR,HYDRO,717.57
2013-12,EASTERN,BIHAR,HYDRO,604.2
2014-01,EASTERN,BIHAR,HYDRO,634.43
2014-02,EASTERN,BIHAR,HYDRO,412.43
2014-03,EASTERN,BIHAR,HYDRO,579.37
2014-04,EASTERN,BIHAR,HYDRO,554.88
2014-05,EASTERN,BIHAR,HYDRO,499
2014-06,EASTERN,BIHAR,HYDRO,559.91
2014-07,EASTERN,BIHAR,HYDRO,1126.33
2014-08,EASTERN,BIHAR,HYDRO,1357.94
2014-09,EASTERN,BIHAR,HYDRO,1055.18
2014-10,EASTERN,BIHAR,HYDRO,901.72
2014-11,EASTERN,BIHAR,HYDRO,723.1
2014-12,EASTERN,BIHAR,HYDRO,738.96
2015-01,EASTERN,BIHAR,HYDRO,559.58
2015-02,EASTERN,BIHAR,HYDRO,420.61
2015-03,EASTERN,BIHAR,HYDRO,406.81
2015-04,EASTERN,BIHAR,HYDRO,340.84
2015-05,EASTERN,BIHAR,HYDRO,375.51
2015-06,EASTERN,BIHAR,HYDRO,507.63
2015-07,EASTERN,BIHAR,HYDRO,531.19
2015-08,EASTERN,BIHAR,HYDRO,1102.39
2015-09,EASTERN,BIHAR,HYDRO,1404.54
2015-10,EASTERN,BIHAR,HYDRO,846.68
2015-11,EASTERN,BIHAR,HYDRO,657.35
2015-12,EASTERN,BIHAR,HYDRO,616.07
2016-01,EASTERN,BIHAR,HYDRO,460.63
2016-02,EASTERN,BIHAR,HYDRO,415.73
2016-03,EASTERN,BIHAR,HYDRO,287.05
2016-04,EASTERN,BIHAR,HYDRO,329.44
2016-05,EASTERN,BIHAR,HYDRO,169
2016-06,EASTERN,BIHAR,HYDRO,892.76
2016-07,EASTERN,BIHAR,HYDRO,1396.1
2016-08,EASTERN,BIHAR,HYDRO,860.94
2016-09,EASTERN,BIHAR,HYDRO,878.78
2016-10,EASTERN,BIHAR,HYDRO,618.79
2016-11,EASTERN,BIHAR,HYDRO,608.08
2016-12,EASTERN,BIHAR,HYDRO,621
