Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,WESTERN,GOA,HYDRO,742.22
2011-02,WESTERN,GOA,HYDRO,630.96
2011-03,WESTERN,GOA,HYDRO,579.94
2011-04,WESTERN,GOA,HYDRO,505
2011-05,WESTERN,GOA,HYDRO,423
2011-06,WESTERN,GOA,HYDRO,279
2011-07,WESTERN,GOA,HYDRO,375
2011-08,WESTERN,GOA,HYDRO,903
2011-09,WESTERN,GOA,HYDRO,427.73
2011-10,WESTERN,GOA,HYDRO,519.43
2011-11,WESTERN,GOA,HYDRO,442.77
2011-12,WESTERN,GOA,HYDRO,535.36
2012-01,WESTERN,GOA,HYDRO,718.13
2012-02,WESTERN,GOA,HYDRO,661.23
2012-03,WESTERN,GOA,HYDRO,748.55
2012-04,WESTERN,GOA,HYDRO,1365.56
2012-05,WESTERN,GOA,HYDRO,496.32
2012-06,WESTERN,GOA,HYDRO,440.53
2012-07,WESTERN,GOA,HYDRO,281.87
2012-08,WESTERN,GOA,HYDRO,587.54
2012-09,WESTERN,GOA,HYDRO,954.68
2012-10,WESTERN,GOA,HYDRO,546.17
2012-11,WESTERN,GOA,HYDRO,668
2012-12,WESTERN,GOA,HYDRO,592
2013-01,WESTERN,GOA,HYDRO,584.68
2013-02,WESTERN,GOA,HYDRO,475.61
2013-03,WESTERN,GOA,HYDRO,589.72
2013-04,WESTERN,GOA,HYDRO,465.84
2013-05,WESTERN,GOA,HYDRO,519.56
2013-06,WESTERN,GOA,HYDRO,384.86
2013-07,WESTERN,GOA,HYDRO,482.64
2013-08,WESTERN,GOA,HYDRO,1035.98
2013-09,WESTERN,GOA,HYDRO,1195.89
2013-10,WESTERN,GOA,HYDRO,844.59
2013-11,WESTERN,GOA,HYDRO,772.57
2013-12,WESTERN,GOA,HYDRO,659.2
2014-01,WESTERN,GOA,HYDRO,689.43
2014-02,WESTERN,GOA,HYDRO,467.43
2014-03,WESTERN,GOA,HYDRO,634.37
2014-04,WESTERN,GOA,HYDRO,609.88
2014-05,WESTERN,GOA,HYDRO,554
2014-06,WESTERN,GOA,HYDRO,614.91
2014-07,WESTERN,GOA,HYDRO,1181.33
2014-08,WESTERN,GOA,HYDRO,1412.94
2014-09,WESTERN,GOA,HYDRO,1110.18
2014-10,WESTERN,GOA,HYDRO,956.72
2014-11,WESTERN,GOA,HYDRO,778.1
2014-12,WESTERN,GOA,HYDRO,793.96
2015-01,WESTERN,GOA,HYDRO,614.58
2015-02,WESTERN,GOA,HYDRO,475.61
2015-03,WESTERN,GOA,HYDRO,461.81
2015-04,WESTERN,GOA,HYDRO,395.84
2015-05,WESTERN,GOA,HYDRO,430.51
2015-06,WESTERN,GOA,HYDRO,562.63
2015-07,WESTERN,GOA,HYDRO,586.19
2015-08,WESTERN,GOA,HYDRO,1157.39
2015-09,WESTERN,GOA,HYDRO,1459.54
2015-10,WESTERN,GOA,HYDRO,901.68
2015-11,WESTERN,GOA,HYDRO,712.35
2015-12,WESTERN,GOA,HYDRO,671.07
2016-01,WESTERN,GOA,HYDRO,515.63
2016-02,WESTERN,GOA,HYDRO,470.73
2016-03,WESTERN,GOA,HYDRO,342.05
2016-04,WESTERN,GOA,HYDRO,384.44
2016-05,WESTERN,GOA,HYDRO,224
2016-06,WESTERN,GOA,HYDRO,947.76
2016-07,WESTERN,GOA,HYDRO,1451.1
2016-08,WESTERN,GOA,HYDRO,915.94
2016-09,WESTERN,GOA,HYDRO,933.78
2016-10,WESTERN,GOA,HYDRO,673.79
2016-11,WESTERN,GOA,HYDRO,663.08
2016-12,WESTERN,GOA,HYDRO,676
