Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,WESTERN,GUJARAT,HYDRO,865.22
2011-02,WESTERN,GUJARAT,HYDRO,753.96
2011-03,WESTERN,GUJARAT,HYDRO,702.94
2011-04,WESTERN,GUJARAT,HYDRO,628
2011-05,WESTERN,GUJARAT,HYDRO,546
2011-06,WESTERN,GUJARAT,HYDRO,402
2011-07,WESTERN,GUJARAT,HYDRO,498
2011-08,WESTERN,GUJARAT,HYDRO,1026
2011-09,WESTERN,GUJARAT,HYDRO,550.73
2011-10,WESTERN,GUJARAT,HYDRO,642.43
2011-11,WESTERN,GUJARAT,HYDRO,565.77
2011-12,WESTERN,GUJARAT,HYDRO,658.36
2012-01,WESTERN,GUJARAT,HYDRO,841.13
2012-02,WESTERN,GUJARAT,HYDRO,784.23
2012-03,WESTERN,GUJARAT,HYDRO,871.55
2012-04,WESTERN,GUJARAT,HYDRO,1488.56
2012-05,WESTERN,GUJARAT,HYDRO,619.32
2012-06,WESTERN,GUJARAT,HYDRO,563.53
2012-07,WESTERN,GUJARAT,HYDRO,404.87
2012-08,WESTERN,GUJARAT,HYDRO,710.54
2012-09,WESTERN,GUJARAT,HYDRO,1077.68
2012-10,WESTERN,GUJARAT,HYDRO,669.17
2012-11,WESTERN,GUJARAT,HYDRO,791
2012-12,WESTERN,GUJARAT,HYDRO,715
2013-01,WESTERN,GUJARAT,HYDRO,707.68
2013-02,WESTERN,GUJARAT,HYDRO,598.61
2013-03,WESTERN,GUJARAT,HYDRO,712.72
2013-04,WESTERN,GUJARAT,HYDRO,588.84
2013-05,WESTERN,GUJARAT,HYDRO,642.56
2013-06,WESTERN,GUJARAT,HYDRO,507.86
2013-07,WESTERN,GUJARAT,HYDRO,605.64
2013-08,WESTERN,GUJARAT,HYDRO,1158.98
2013-09,WESTERN,GUJARAT,HYDRO,1318.89
2013-10,WESTERN,GUJARAT,HYDRO,967.59
2013-11,WESTERN,GUJARAT,HYDRO,895.57
2013-12,WESTERN,GUJARAT,HYDRO,782.2
2014-01,WESTERN,GUJARAT,HYDRO,812.43
2014-02,WESTERN,GUJARAT,HYDRO,590.43
2014-03,WESTERN,GUJARAT,HYDRO,757.37
2014-04,WESTERN,GUJARAT,HYDRO,732.88
2014-05,WESTERN,GUJARAT,HYDRO,677
2014-06,WESTERN,GUJARAT,HYDRO,737.91
2014-07,WESTERN,GUJARAT,HYDRO,1304.33
2014-08,WESTERN,GUJARAT,HYDRO,1535.94
2014-09,WESTERN,GUJARAT,HYDRO,1233.18
2014-10,WESTERN,GUJARAT,HYDRO,1079.72
2014-11,WESTERN,GUJARAT,HYDRO,901.1
2014-12,WESTERN,GUJARAT,HYDRO,916.96
2015-01,WESTERN,GUJARAT,HYDRO,737.58
2015-02,WESTERN,GUJARAT,HYDRO,598.61
2015-03,WESTERN,GUJARAT,HYDRO,584.81
2015-04,WESTERN,GUJARAT,HYDRO,518.84
2015-05,WESTERN,GUJARAT,HYDRO,553.51
2015-06,WESTERN,GUJARAT,HYDRO,685.63
2015-07,WESTERN,GUJARAT,HYDRO,709.19
2015-08,WESTERN,GUJARAT,HYDRO,1280.39
2015-09,WESTERN,GUJARAT,HYDRO,1582.54
2015-10,WESTERN,GUJARAT,HYDRO,1024.68
2015-11,WESTERN,GUJARAT,HYDRO,835.35
2015-12,WESTERN,GUJARAT,HYDRO,794.07
2016-01,WESTERN,GUJARAT,HYDRO,638.63
2016-02,WESTERN,GUJARAT,HYDRO,593.73
2016-03,WESTERN,GUJARAT,HYDRO,465.05
2016-04,WESTERN,GUJARAT,HYDRO,507.44
2016-05,WESTERN,GUJARAT,HYDRO,347
2016-06,WESTERN,GUJARAT,HYDRO,1070.76
2016-07,WESTERN,GUJARAT,HYDRO,1574.1
2016-08,WESTERN,GUJARAT,HYDRO,1038.94
2016-09,WESTERN,GUJARAT,HYDRO,1056.78
2016-10,WESTERN,GUJARAT,HYDRO,796.79
2016-11,WESTERN,GUJARAT,HYDRO,786.08
2016-12,WESTERN,GUJARAT,HYDRO,799
