Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTHERN,HARYANA,HYDRO,817.22
2011-02,NORTHERN,HARYANA,HYDRO,705.96
2011-03,NORTHERN,HARYANA,HYDRO,654.94
2011-04,NORTHERN,HARYANA,HYDRO,580
2011-05,NORTHERN,HARYANA,HYDRO,498
2011-06,NORTHERN,HARYANA,HYDRO,354
2011-07,NORTHERN,HARYANA,HYDRO,450
2011-08,NORTHERN,HARYANA,HYDRO,978
2011-09,NORTHERN,HARYANA,HYDRO,502.73
2011-10,NORTHERN,HARYANA,HYDRO,594.43
2011-11,NORTHERN,HARYANA,HYDRO,517.77
2011-12,NORTHERN,HARYANA,HYDRO,610.36
2012-01,NORTHERN,HARYANA,HYDRO,793.13
2012-02,NORTHERN,HARYANA,HYDRO,736.23
2012-03,NORTHERN,HARYANA,HYDRO,823.55
2012-04,NORTHERN,HARYANA,HYDRO,1440.56
2012-05,NORTHERN,HARYANA,HYDRO,571.32
2012-06,NORTHERN,HARYANA,HYDRO,515.53
2012-07,NORTHERN,HARYANA,HYDRO,356.87
2012-08,NORTHERN,HARYANA,HYDRO,662.54
2012-09,NORTHERN,HARYANA,HYDRO,1029.68
2012-10,NORTHERN,HARYANA,HYDRO,621.17
2012-11,NORTHERN,HARYANA,HYDRO,743
2012-12,NORTHERN,HARYANA,HYDRO,667
2013-01,NORTHERN,HARYANA,HYDRO,659.68
2013-02,NORTHERN,HARYANA,HYDRO,550.61
2013-03,NORTHERN,HARYANA,HYDRO,664.72
2013-04,NORTHERN,HARYANA,HYDRO,540.84
2013-05,NORTHERN,HARYANA,HYDRO,594.56
2013-06,NORTHERN,HARYANA,HYDRO,459.86
2013-07,NORTHERN,HARYANA,HYDRO,557.64
2013-08,NORTHERN,HARYANA,HYDRO,1110.98
2013-09,NORTHERN,HARYANA,HYDRO,1270.89
2013-10,NORTHERN,HARYANA,HYDRO,919.59
2013-11,NORTHERN,HARYANA,HYDRO,847.57
2013-12,NORTHERN,HARYANA,HYDRO,734.2
2014-01,NORTHERN,HARYANA,HYDRO,764.43
2014-02,NORTHERN,HARYANA,HYDRO,542.43
2014-03,NORTHERN,HARYANA,HYDRO,709.37
2014-04,NORTHERN,HARYANA,HYDRO,684.88
2014-05,NORTHERN,HARYANA,HYDRO,629
2014-06,NORTHERN,HARYANA,HYDRO,689.91
2014-07,NORTHERN,HARYANA,HYDRO,1256.33
2014-08,NORTHERN,HARYANA,HYDRO,1487.94
2014-09,NORTHERN,HARYANA,HYDRO,1185.18
2014-10,NORTHERN,HARYANA,HYDRO,1031.72
2014-11,NORTHERN,HARYANA,HYDRO,853.1
2014-12,NORTHERN,HARYANA,HYDRO,868.96
2015-01,NORTHERN,HARYANA,HYDRO,689.58
2015-02,NORTHERN,HARYANA,HYDRO,550.61
2015-03,NORTHERN,HARYANA,HYDRO,536.81
2015-04,NORTHERN,HARYANA,HYDRO,470.84
2015-05,NORTHERN,HARYANA,HYDRO,505.51
2015-06,NORTHERN,HARYANA,HYDRO,637.63
2015-07,NORTHERN,HARYANA,HYDRO,661.19
2015-08,NORTHERN,HARYANA,HYDRO,1232.39
2015-09,NORTHERN,HARYANA,HYDRO,1534.54
2015-10,NORTHERN,HARYANA,HYDRO,976.68
2015-11,NORTHERN,HARYANA,HYDRO,787.35
2015-12,NORTHERN,HARYANA,HYDRO,746.07
2016-01,NORTHERN,HARYANA,HYDRO,590.63
2016-02,NORTHERN,HARYANA,HYDRO,545.73
2016-03,NORTHERN,HARYANA,HYDRO,417.05
2016-04,NORTHERN,HARYANA,HYDRO,459.44
2016-05,NORTHERN,HARYANA,HYDRO,299
2016-06,NORTHERN,HARYANA,HYDRO,1022.76
2016-07,NORTHERN,HARYANA,HYDRO,1526.1
2016-08,NORTHERN,HARYANA,HYDRO,990.94
2016-09,NORTHERN,HARYANA,HYDRO,1008.78
2016-10,NORTHERN,HARYANA,HYDRO,748.79
2016-11,NORTHERN,HARYANA,HYDRO,738.08
2016-12,NORTHERN,HARYANA,HYDRO,751
