Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTHERN,HIMACHAL PRADESH,HYDRO,730.22
2011-02,NORTHERN,HIMACHAL PRADESH,HYDRO,618.96
2011-03,NORTHERN,HIMACHAL PRADESH,HYDRO,567.94
2011-04,NORTHERN,HIMACHAL PRADESH,HYDRO,493
2011-05,NORTHERN,HIMACHAL PRADESH,HYDRO,411
2011-06,NORTHERN,HIMACHAL PRADESH,HYDRO,267
2011-07,NORTHERN,HIMACHAL PRADESH,HYDRO,363
2011-08,NORTHERN,HIMACHAL PRADESH,HYDRO,891
2011-09,NORTHERN,HIMACHAL PRADESH,HYDRO,415.73
2011-10,NORTHERN,HIMACHAL PRADESH,HYDRO,507.43
2011-11,NORTHERN,HIMACHAL PRADESH,HYDRO,430.77
2011-12,NORTHERN,HIMACHAL PRADESH,HYDRO,523.36
2012-01,NORTHERN,HIMACHAL PRADESH,HYDRO,706.13
2012-02,NORTHERN,HIMACHAL PRADESH,HYDRO,649.23
2012-03,NORTHERN,HIMACHAL PRADESH,HYDRO,736.55
2012-04,NORTHERN,HIMACHAL PRADESH,HYDRO,1353.56
2012-05,NORTHERN,HIMACHAL PRADESH,HYDRO,484.32
2012-06,NORTHERN,HIMACHAL PRADESH,HYDRO,428.53
2012-07,NORTHERN,HIMACHAL PRADESH,HYDRO,269.87
2012-08,NORTHERN,HIMACHAL PRADESH,HYDRO,575.54
2012-09,NORTHERN,HIMACHAL PRADESH,HYDRO,942.68
2012-10,NORTHERN,HIMACHAL PRADESH,HYDRO,534.17
2012-11,NORTHERN,HIMACHAL PRADESH,HYDRO,656
2012-12,NORTHERN,HIMACHAL PRADESH,HYDRO,580
2013-01,NORTHERN,HIMACHAL PRADESH,HYDRO,572.68
2013-02,NORTHERN,HIMACHAL PRADESH,HYDRO,463.61
2013-03,NORTHERN,HIMACHAL PRADESH,HYDRO,577.72
2013-04,NORTHERN,HIMACHAL PRADESH,HYDRO,453.84
2013-05,NORTHERN,HIMACHAL PRADESH,HYDRO,507.56
2013-06,NORTHERN,HIMACHAL PRADESH,HYDRO,372.86
2013-07,NORTHERN,HIMACHAL PRADESH,HYDRO,470.64
2013-08,NORTHERN,HIMACHAL PRADESH,HYDRO,1023.98
2013-09,NORTHERN,HIMACHAL PRADESH,HYDRO,1183.89
2013-10,NORTHERN,HIMACHAL PRADESH,HYDRO,832.59
2013-11,NORTHERN,HIMACHAL PRADESH,HYDRO,760.57
2013-12,NORTHERN,HIMACHAL PRADESH,HYDRO,647.2
2014-01,NORTHERN,HIMACHAL PRADESH,HYDRO,677.43
2014-02,NORTHERN,HIMACHAL PRADESH,HYDRO,455.43
2014-03,NORTHERN,HIMACHAL PRADESH,HYDRO,622.37
2014-04,NORTHERN,HIMACHAL PRADESH,HYDRO,597.88
2014-05,NORTHERN,HIMACHAL PRADESH,HYDRO,542
2014-06,NORTHERN,HIMACHAL PRADESH,HYDRO,602.91
2014-07,NORTHERN,HIMACHAL PRADESH,HYDRO,1169.33
2014-08,NORTHERN,HIMACHAL PRADESH,HYDRO,1400.94
2014-09,NORTHERN,HIMACHAL PRADESH,HYDRO,1098.18
2014-10,NORTHERN,HIMACHAL PRADESH,HYDRO,944.72
2014-11,NORTHERN,HIMACHAL PRADESH,HYDRO,766.1
2014-12,NORTHERN,HIMACHAL PRADESH,HYDRO,781.96
2015-01,NORTHERN,HIMACHAL PRADESH,HYDRO,602.58
2015-02,NORTHERN,HIMACHAL PRADESH,HYDRO,463.61
2015-03,NORTHERN,HIMACHAL PRADESH,HYDRO,449.81
2015-04,NORTHERN,HIMACHAL PRADESH,HYDRO,383.84
2015-05,NORTHERN,HIMACHAL PRADESH,HYDRO,418.51
2015-06,NORTHERN,HIMACHAL PRADESH,HYDRO,550.63
2015-07,NORTHERN,HIMACHAL PRADESH,HYDRO,574.19
2015-08,NORTHERN,HIMACHAL PRADESH,HYDRO,1145.39
2015-09,NORTHERN,HIMACHAL PRADESH,HYDRO,1447.54
2015-10,NORTHERN,HIMACHAL PRADESH,HYDRO,889.68
2015-11,NORTHERN,HIMACHAL PRADESH,HYDRO,700.35
2015-12,NORTHERN,HIMACHAL PRADESH,HYDRO,659.07
2016-01,NORTHERN,HIMACHAL PRADESH,HYDRO,503.63
2016-02,NORTHERN,HIMACHAL PRADESH,HYDRO,458.73
2016-03,NORTHERN,HIMACHAL PRADESH,HYDRO,330.05
2016-04,NORTHERN,HIMACHAL PRADESH,HYDRO,372.44
2016-05,NORTHERN,HIMACHAL PRADESH,HYDRO,212
2016-06,NORTHERN,HIMACHAL PRADESH,HYDRO,935.76
2016-07,NORTHERN,HIMACHAL PRADESH,HYDRO,1439.1
2016-08,NORTHERN,HIMACHAL PRADESH,HYDRO,903.94
2016-09,NORTHERN,HIMACHAL PRADESH,HYDRO,921.78
2016-10,NORTHERN,HIMACHAL PRADESH,HYDRO,661.79
2016-11,NORTHERN,HIMACHAL PRADESH,HYDRO,651.08
2016-12,NORTHERN,HIMACHAL PRADESH,HYDRO,664
