Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTHERN,JAMMU AND KASHMIR,HYDRO,613.22
2011-02,NORTHERN,JAMMU AND KASHMIR,HYDRO,501.96
2011-03,NORTHERN,JAMMU AND KASHMIR,HYDRO,450.94
2011-04,NORTHERN,JAMMU AND KASHMIR,HYDRO,376
2011-05,NORTHERN,JAMMU AND KASHMIR,HYDRO,294
2011-06,NORTHERN,JAMMU AND KASHMIR,HYDRO,150
2011-07,NORTHERN,JAMMU AND KASHMIR,HYDRO,246
2011-08,NORTHERN,JAMMU AND KASHMIR,HYDRO,774
2011-09,NORTHERN,JAMMU AND KASHMIR,HYDRO,298.73
2011-10,NORTHERN,JAMMU AND KASHMIR,HYDRO,390.43
2011-11,NORTHERN,JAMMU AND KASHMIR,HYDRO,313.77
2011-12,NORTHERN,JAMMU AND KASHMIR,HYDRO,406.36
2012-01,NORTHERN,JAMMU AND KASHMIR,HYDRO,589.13
2012-02,NORTHERN,JAMMU AND KASHMIR,HYDRO,532.23
2012-03,NORTHERN,JAMMU AND KASHMIR,HYDRO,619.55
2012-04,NORTHERN,JAMMU AND KASHMIR,HYDRO,1236.56
2012-05,NORTHERN,JAMMU AND KASHMIR,HYDRO,367.32
2012-06,NORTHERN,JAMMU AND KASHMIR,HYDRO,311.53
2012-07,NORTHERN,JAMMU AND KASHMIR,HYDRO,152.87
2012-08,NORTHERN,JAMMU AND KASHMIR,HYDRO,458.54
2012-09,NORTHERN,JAMMU AND KASHMIR,HYDRO,825.68
2012-10,NORTHERN,JAMMU AND KASHMIR,HYDRO,417.17
2012-11,NORTHERN,JAMMU AND KASHMIR,HYDRO,539
2012-12,NORTHERN,JAMMU AND KASHMIR,HYDRO,463
2013-01,NORTHERN,JAMMU AND KASHMIR,HYDRO,455.68
2013-02,NORTHERN,JAMMU AND KASHMIR,HYDRO,346.61
2013-03,NORTHERN,JAMMU AND KASHMIR,HYDRO,460.72
2013-04,NORTHERN,JAMMU AND KASHMIR,HYDRO,336.84
2013-05,NORTHERN,JAMMU AND KASHMIR,HYDRO,390.56
2013-06,NORTHERN,JAMMU AND KASHMIR,HYDRO,255.86
2013-07,NORTHERN,JAMMU AND KASHMIR,HYDRO,353.64
2013-08,NORTHERN,JAMMU AND KASHMIR,HYDRO,906.98
2013-09,NORTHERN,JAMMU AND KASHMIR,HYDRO,1066.89
2013-10,NORTHERN,JAMMU AND KASHMIR,HYDRO,715.59
2013-11,NORTHERN,JAMMU AND KASHMIR,HYDRO,643.57
2013-12,NORTHERN,JAMMU AND KASHMIR,HYDRO,530.2
2014-01,NORTHERN,JAMMU AND KASHMIR,HYDRO,560.43
2014-02,NORTHERN,JAMMU AND KASHMIR,HYDRO,338.43
2014-03,NORTHERN,JAMMU AND KASHMIR,HYDRO,505.37
2014-04,NORTHERN,JAMMU AND KASHMIR,HYDRO,480.88
2014-05,NORTHERN,JAMMU AND KASHMIR,HYDRO,425
2014-06,NORTHERN,JAMMU AND KASHMIR,HYDRO,485.91
2014-07,NORTHERN,JAMMU AND KASHMIR,HYDRO,1052.33
2014-08,NORTHERN,JAMMU AND KASHMIR,HYDRO,1283.94
2014-09,NORTHERN,JAMMU AND KASHMIR,HYDRO,981.18
2014-10,NORTHERN,JAMMU AND KASHMIR,HYDRO,827.72
2014-11,NORTHERN,JAMMU AND KASHMIR,HYDRO,649.1
2014-12,NORTHERN,JAMMU AND KASHMIR,HYDRO,664.96
2015-01,NORTHERN,JAMMU AND KASHMIR,HYDRO,485.58
2015-02,NORTHERN,JAMMU AND KASHMIR,HYDRO,346.61
2015-03,NORTHERN,JAMMU AND KASHMIR,HYDRO,332.81
2015-04,NORTHERN,JAMMU AND KASHMIR,HYDRO,266.84
2015-05,NORTHERN,JAMMU AND KASHMIR,HYDRO,301.51
2015-06,NORTHERN,JAMMU AND KASHMIR,HYDRO,433.63
2015-07,NORTHERN,JAMMU AND KASHMIR,HYDRO,457.19
2015-08,NORTHERN,JAMMU AND KASHMIR,HYDRO,1028.39
2015-09,NORTHERN,JAMMU AND KASHMIR,HYDRO,1330.54
2015-10,NORTHERN,JAMMU AND KASHMIR,HYDRO,772.68
2015-11,NORTHERN,JAMMU AND KASHMIR,HYDRO,583.35
2015-12,NORTHERN,JAMMU AND KASHMIR,HYDRO,542.07
2016-01,NORTHERN,JAMMU AND KASHMIR,HYDRO,386.63
2016-02,NORTHERN,JAMMU AND KASHMIR,HYDRO,341.73
2016-03,NORTHERN,JAMMU AND KASHMIR,HYDRO,213.05
2016-04,NORTHERN,JAMMU AND KASHMIR,HYDRO,255.44
2016-05,NORTHERN,JAMMU AND KASHMIR,HYDRO,95
2016-06,NORTHERN,JAMMU AND KASHMIR,HYDRO,818.76
2016-07,NORTHERN,JAMMU AND KASHMIR,HYDRO,1322.1
2016-08,NORTHERN,JAMMU AND KASHMIR,HYDRO,786.94
2016-09,NORTHERN,JAMMU AND KASHMIR,HYDRO,804.78
2016-10,NORTHERN,JAMMU AND KASHMIR,HYDRO,544.79
2016-11,NORTHERN,JAMMU AND KASHMIR,HYDRO,534.08
2016-12,NORTHERN,JAMMU AND KASHMIR,HYDRO,547
