Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,EASTERN,JHARKHAND,HYDRO,776.22
2011-02,EASTERN,JHARKHAND,HYDRO,664.96
2011-03,EASTERN,JHARKHAND,HYDRO,613.94
2011-04,EASTERN,JHARKHAND,HYDRO,539
2011-05,EASTERN,JHARKHAND,HYDRO,457
2011-06,EASTERN,JHARKHAND,HYDRO,313
2011-07,EASTERN,JHARKHAND,HYDRO,409
2011-08,EASTERN,JHARKHAND,HYDRO,937
2011-09,EASTERN,JHARKHAND,HYDRO,461.73
2011-10,EASTERN,JHARKHAND,HYDRO,553.43
2011-11,EASTERN,JHARKHAND,HYDRO,476.77
2011-12,EASTERN,JHARKHAND,HYDRO,569.36
2012-01,EASTERN,JHARKHAND,HYDRO,752.13
2012-02,EASTERN,JHARKHAND,HYDRO,695.23
2012-03,EASTERN,JHARKHAND,HYDRO,782.55
2012-04,EASTERN,JHARKHAND,HYDRO,1399.56
2012-05,EASTERN,JHARKHAND,HYDRO,530.32
2012-06,EASTERN,JHARKHAND,HYDRO,474.53
2012-07,EASTERN,JHARKHAND,HYDRO,315.87
2012-08,EASTERN,JHARKHAND,HYDRO,621.54
2012-09,EASTERN,JHARKHAND,HYDRO,988.68
2012-10,EASTERN,JHARKHAND,HYDRO,580.17
2012-11,EASTERN,JHARKHAND,HYDRO,702
2012-12,EASTERN,JHARKHAND,HYDRO,626
2013-01,EASTERN,JHARKHAND,HYDRO,618.68
2013-02,EASTERN,JHARKHAND,HYDRO,509.61
2013-03,EASTERN,JHARKHAND,HYDRO,623.72
2013-04,EASTERN,JHARKHAND,HYDRO,499.84
2013-05,EASTERN,JHARKHAND,HYDRO,553.56
2013-06,EASTERN,JHARKHAND,HYDRO,418.86
2013-07,EASTERN,JHARKHAND,HYDRO,516.64
2013-08,EASTERN,JHARKHAND,HYDRO,1069.98
2013-09,EASTERN,JHARKHAND,HYDRO,1229.89
2013-10,EASTERN,JHARKHAND,HYDRO,878.59
2013-11,EASTERN,JHARKHAND,HYDRO,806.57
2013-12,EASTERN,JHARKHAND,HYDRO,693.2
2014-01,EASTERN,JHARKHAND,HYDRO,723.43
2014-02,EASTERN,JHARKHAND,HYDRO,501.43
2014-03,EASTERN,JHARKHAND,HYDRO,668.37
2014-04,EASTERN,JHARKHAND,HYDRO,643.88
2014-05,EASTERN,JHARKHAND,HYDRO,588
2014-06,EASTERN,JHARKHAND,HYDRO,648.91
2014-07,EASTERN,JHARKHAND,HYDRO,1215.33
2014-08,EASTERN,JHARKHAND,HYDRO,1446.94
2014-09,EASTERN,JHARKHAND,HYDRO,1144.18
2014-10,EASTERN,JHARKHAND,HYDRO,990.72
2014-11,EASTERN,JHARKHAND,HYDRO,812.1
2014-12,EASTERN,JHARKHAND,HYDRO,827.96
2015-01,EASTERN,JHARKHAND,HYDRO,648.58
2015-02,EASTERN,JHARKHAND,HYDRO,509.61
2015-03,EASTERN,JHARKHAND,HYDRO,495.81
2015-04,EASTERN,JHARKHAND,HYDRO,429.84
2015-05,EASTERN,JHARKHAND,HYDRO,464.51
2015-06,EASTERN,JHARKHAND,HYDRO,596.63
2015-07,EASTERN,JHARKHAND,HYDRO,620.19
2015-08,EASTERN,JHARKHAND,HYDRO,1191.39
2015-09,EASTERN,JHARKHAND,HYDRO,1493.54
2015-10,EASTERN,JHARKHAND,HYDRO,935.68
2015-11,EASTERN,JHARKHAND,HYDRO,746.35
2015-12,EASTERN,JHARKHAND,HYDRO,705.07
2016-01,EASTERN,JHARKHAND,HYDRO,549.63
2016-02,EASTERN,JHARKHAND,HYDRO,504.73
2016-03,EASTERN,JHARKHAND,HYDRO,376.05
2016-04,EASTERN,JHARKHAND,HYDRO,418.44
2016-05,EASTERN,JHARKHAND,HYDRO,258
2016-06,EASTERN,JHARKHAND,HYDRO,981.76
2016-07,EASTERN,JHARKHAND,HYDRO,1485.1
2016-08,EASTERN,JHARKHAND,HYDRO,949.94
2016-09,EASTERN,JHARKHAND,HYDRO,967.78
2016-10,EASTERN,JHARKHAND,HYDRO,707.79
2016-11,EASTERN,JHARKHAND,HYDRO,697.08
2016-12,EASTERN,JHARKHAND,HYDRO,710
