Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,SOUTHERN,KARNATAKA,HYDRO,720.22
2011-02,SOUTHERN,KARNATAKA,HYDRO,608.96
2011-03,SOUTHERN,KARNATAKA,HYDRO,557.94
2011-04,SOUTHERN,KARNATAKA,HYDRO,483
2011-05,SOUTHERN,KARNATAKA,HYDRO,401
2011-06,SOUTHERN,KARNATAKA,HYDRO,257
2011-07,SOUTHERN,KARNATAKA,HYDRO,353
2011-08,SOUTHERN,KARNATAKA,HYDRO,881
2011-09,SOUTHERN,KARNATAKA,HYDRO,405.73
2011-10,SOUTHERN,KARNATAKA,HYDRO,497.43
2011-11,SOUTHERN,KARNATAKA,HYDRO,420.77
2011-12,SOUTHERN,KARNATAKA,HYDRO,513.36
2012-01,SOUTHERN,KARNATAKA,HYDRO,696.13
2012-02,SOUTHERN,KARNATAKA,HYDRO,639.23
2012-03,SOUTHERN,KARNATAKA,HYDRO,726.55
2012-04,SOUTHERN,KARNATAKA,HYDRO,1343.56
2012-05,SOUTHERN,KARNATAKA,HYDRO,474.32
2012-06,SOUTHERN,KARNATAKA,HYDRO,418.53
2012-07,SOUTHERN,KARNATAKA,HYDRO,259.87
2012-08,SOUTHERN,KARNATAKA,HYDRO,565.54
2012-09,SOUTHERN,KARNATAKA,HYDRO,932.68
2012-10,SOUTHERN,KARNATAKA,HYDRO,524.17
2012-11,SOUTHERN,KARNATAKA,HYDRO,646
2012-12,SOUTHERN,KARNATAKA,HYDRO,570
2013-01,SOUTHERN,KARNATAKA,HYDRO,562.68
2013-02,SOUTHERN,KARNATAKA,HYDRO,453.61
2013-03,SOUTHERN,KARNATAKA,HYDRO,567.72
2013-04,SOUTHERN,KARNATAKA,HYDRO,443.84
2013-05,SOUTHERN,KARNATAKA,HYDRO,497.56
2013-06,SOUTHERN,KARNATAKA,HYDRO,362.86
2013-07,SOUTHERN,KARNATAKA,HYDRO,460.64
2013-08,SOUTHERN,KARNATAKA,HYDRO,1013.98
2013-09,SOUTHERN,KARNATAKA,HYDRO,1173.89
2013-10,SOUTHERN,KARNATAKA,HYDRO,822.59
2013-11,SOUTHERN,KARNATAKA,HYDRO,750.57
2013-12,SOUTHERN,KARNATAKA,HYDRO,637.2
2014-01,SOUTHERN,KARNATAKA,HYDRO,667.43
2014-02,SOUTHERN,KARNATAKA,HYDRO,445.43
2014-03,SOUTHERN,KARNATAKA,HYDRO,612.37
2014-04,SOUTHERN,KARNATAKA,HYDRO,587.88
2014-05,SOUTHERN,KARNATAKA,HYDRO,532
2014-06,SOUTHERN,KARNATAKA,HYDRO,592.91
2014-07,SOUTHERN,KARNATAKA,HYDRO,1159.33
2014-08,SOUTHERN,KARNATAKA,HYDRO,1390.94
2014-09,SOUTHERN,KARNATAKA,HYDRO,1088.18
2014-10,SOUTHERN,KARNATAKA,HYDRO,934.72
2014-11,SOUTHERN,KARNATAKA,HYDRO,756.1
2014-12,SOUTHERN,KARNATAKA,HYDRO,771.96
2015-01,SOUTHERN,KARNATAKA,HYDRO,592.58
2015-02,SOUTHERN,KARNATAKA,HYDRO,453.61
2015-03,SOUTHERN,KARNATAKA,HYDRO,439.81
2015-04,SOUTHERN,KARNATAKA,HYDRO,373.84
2015-05,SOUTHERN,KARNATAKA,HYDRO,408.51
2015-06,SOUTHERN,KARNATAKA,HYDRO,540.63
2015-07,SOUTHERN,KARNATAKA,HYDRO,564.19
2015-08,SOUTHERN,KARNATAKA,HYDRO,1135.39
2015-09,SOUTHERN,KARNATAKA,HYDRO,1437.54
2015-10,SOUTHERN,KARNATAKA,HYDRO,879.68
2015-11,SOUTHERN,KARNATAKA,HYDRO,690.35
2015-12,SOUTHERN,KARNATAKA,HYDRO,649.07
2016-01,SOUTHERN,KARNATAKA,HYDRO,493.63
2016-02,SOUTHERN,KARNATAKA,HYDRO,448.73
2016-03,SOUTHERN,KARNATAKA,HYDRO,320.05
2016-04,SOUTHERN,KARNATAKA,HYDRO,362.44
2016-05,SOUTHERN,KARNATAKA,HYDRO,202
2016-06,SOUTHERN,KARNATAKA,HYDRO,925.76
2016-07,SOUTHERN,KARNATAKA,HYDRO,1429.1
2016-08,SOUTHERN,KARNATAKA,HYDRO,893.94
2016-09,SOUTHERN,KARNATAKA,HYDRO,911.78
2016-10,SOUTHERN,KARNATAKA,HYDRO,651.79
2016-11,SOUTHERN,KARNATAKA,HYDRO,641.08
2016-12,SOUTHERN,KARNATAKA,HYDRO,654
