Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,SOUTHERN,KERALA,HYDRO,598.22
2011-02,SOUTHERN,KERALA,HYDRO,486.96
2011-03,SOUTHERN,KERALA,HYDRO,435.94
2011-04,SOUTHERN,KERALA,HYDRO,361
2011-05,SOUTHERN,KERALA,HYDRO,279
2011-06,SOUTHERN,KERALA,HYDRO,135
2011-07,SOUTHERN,KERALA,HYDRO,231
2011-08,SOUTHERN,KERALA,HYDRO,759
2011-09,SOUTHERN,KERALA,HYDRO,283.73
2011-10,SOUTHERN,KERALA,HYDRO,375.43
2011-11,SOUTHERN,KERALA,HYDRO,298.77
2011-12,SOUTHERN,KERALA,HYDRO,391.36
2012-01,SOUTHERN,KERALA,HYDRO,574.13
2012-02,SOUTHERN,KERALA,HYDRO,517.23
2012-03,SOUTHERN,KERALA,HYDRO,604.55
2012-04,SOUTHERN,KERALA,HYDRO,1221.56
2012-05,SOUTHERN,KERALA,HYDRO,352.32
2012-06,SOUTHERN,KERALA,HYDRO,296.53
2012-07,SOUTHERN,KERALA,HYDRO,137.87
2012-08,SOUTHERN,KERALA,HYDRO,443.54
2012-09,SOUTHERN,KERALA,HYDRO,810.68
2012-10,SOUTHERN,KERALA,HYDRO,402.17
2012-11,SOUTHERN,KERALA,HYDRO,524
2012-12,SOUTHERN,KERALA,HYDRO,448
2013-01,SOUTHERN,KERALA,HYDRO,440.68
2013-02,SOUTHERN,KERALA,HYDRO,331.61
2013-03,SOUTHERN,KERALA,HYDRO,445.72
2013-04,SOUTHERN,KERALA,HYDRO,321.84
2013-05,SOUTHERN,KERALA,HYDRO,375.56
2013-06,SOUTHERN,KERALA,HYDRO,240.86
2013-07,SOUTHERN,KERALA,HYDRO,338.64
2013-08,SOUTHERN,KERALA,HYDRO,891.98
2013-09,SOUTHERN,KERALA,HYDRO,1051.89
2013-10,SOUTHERN,KERALA,HYDRO,700.59
2013-11,SOUTHERN,KERALA,HYDRO,628.57
2013-12,SOUTHERN,KERALA,HYDRO,515.2
2014-01,SOUTHERN,KERALA,HYDRO,545.43
2014-02,SOUTHERN,KERALA,HYDRO,323.43
2014-03,SOUTHERN,KERALA,HYDRO,490.37
2014-04,SOUTHERN,KERALA,HYDRO,465.88
2014-05,SOUTHERN,KERALA,HYDRO,410
2014-06,SOUTHERN,KERALA,HYDRO,470.91
2014-07,SOUTHERN,KERALA,HYDRO,1037.33
2014-08,SOUTHERN,KERALA,HYDRO,1268.94
2014-09,SOUTHERN,KERALA,HYDRO,966.18
2014-10,SOUTHERN,KERALA,HYDRO,812.72
2014-11,SOUTHERN,KERALA,HYDRO,634.1
2014-12,SOUTHERN,KERALA,HYDRO,649.96
2015-01,SOUTHERN,KERALA,HYDRO,470.58
2015-02,SOUTHERN,KERALA,HYDRO,331.61
2015-03,SOUTHERN,KERALA,HYDRO,317.81
2015-04,SOUTHERN,KERALA,HYDRO,251.84
2015-05,SOUTHERN,KERALA,HYDRO,286.51
2015-06,SOUTHERN,KERALA,HYDRO,418.63
2015-07,SOUTHERN,KERALA,HYDRO,442.19
2015-08,SOUTHERN,KERALA,HYDRO,1013.39
2015-09,SOUTHERN,KERALA,HYDRO,1315.54
2015-10,SOUTHERN,KERALA,HYDRO,757.68
2015-11,SOUTHERN,KERALA,HYDRO,568.35
2015-12,SOUTHERN,KERALA,HYDRO,527.07
2016-01,SOUTHERN,KERALA,HYDRO,371.63
2016-02,SOUTHERN,KERALA,HYDRO,326.73
2016-03,SOUTHERN,KERALA,HYDRO,198.05
2016-04,SOUTHERN,KERALA,HYDRO,240.44
2016-05,SOUTHERN,KERALA,HYDRO,80
2016-06,SOUTHERN,KERALA,HYDRO,803.76
2016-07,SOUTHERN,KERALA,HYDRO,1307.1
2016-08,SOUTHERN,KERALA,HYDRO,771.94
2016-09,SOUTHERN,KERALA,HYDRO,789.78
2016-10,SOUTHERN,KERALA,HYDRO,529.79
2016-11,SOUTHERN,KERALA,HYDRO,519.08
2016-12,SOUTHERN,KERALA,HYDRO,532
