Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,WESTERN,MAHARASHTRA,HYDRO,753.22
2011-02,WESTERN,MAHARASHTRA,HYDRO,641.96
2011-03,WESTERN,MAHARASHTRA,HYDRO,590.94
2011-04,WESTERN,MAHARASHTRA,HYDRO,516
2011-05,WESTERN,MAHARASHTRA,HYDRO,434
2011-06,WESTERN,MAHARASHTRA,HYDRO,290
2011-07,WESTERN,MAHARASHTRA,HYDRO,386
2011-08,WESTERN,MAHARASHTRA,HYDRO,914
2011-09,WESTERN,MAHARASHTRA,HYDRO,438.73
2011-10,WESTERN,MAHARASHTRA,HYDRO,530.43
2011-11,WESTERN,MAHARASHTRA,HYDRO,453.77
2011-12,WESTERN,MAHARASHTRA,HYDRO,546.36
2012-01,WESTERN,MAHARASHTRA,HYDRO,729.13
2012-02,WESTERN,MAHARASHTRA,HYDRO,672.23
2012-03,WESTERN,MAHARASHTRA,HYDRO,759.55
2012-04,WESTERN,MAHARASHTRA,HYDRO,1376.56
2012-05,WESTERN,MAHARASHTRA,HYDRO,507.32
2012-06,WESTERN,MAHARASHTRA,HYDRO,451.53
2012-07,WESTERN,MAHARASHTRA,HYDRO,292.87
2012-08,WESTERN,MAHARASHTRA,HYDRO,598.54
2012-09,WESTERN,MAHARASHTRA,HYDRO,965.68
2012-10,WESTERN,MAHARASHTRA,HYDRO,557.17
2012-11,WESTERN,MAHARASHTRA,HYDRO,679
2012-12,WESTERN,MAHARASHTRA,HYDRO,603
2013-01,WESTERN,MAHARASHTRA,HYDRO,595.68
2013-02,WESTERN,MAHARASHTRA,HYDRO,486.61
2013-03,WESTERN,MAHARASHTRA,HYDRO,600.72
2013-04,WESTERN,MAHARASHTRA,HYDRO,476.84
2013-05,WESTERN,MAHARASHTRA,HYDRO,530.56
2013-06,WESTERN,MAHARASHTRA,HYDRO,395.86
2013-07,WESTERN,MAHARASHTRA,HYDRO,493.64
2013-08,WESTERN,MAHARASHTRA,HYDRO,1046.98
2013-09,WESTERN,MAHARASHTRA,HYDRO,1206.89
2013-10,WESTERN,MAHARASHTRA,HYDRO,855.59
2013-11,WESTERN,MAHARASHTRA,HYDRO,783.57
2013-12,WESTERN,MAHARASHTRA,HYDRO,670.2
2014-01,WESTERN,MAHARASHTRA,HYDRO,700.43
2014-02,WESTERN,MAHARASHTRA,HYDRO,478.43
2014-03,WESTERN,MAHARASHTRA,HYDRO,645.37
2014-04,WESTERN,MAHARASHTRA,HYDRO,620.88
2014-05,WESTERN,MAHARASHTRA,HYDRO,565
2014-06,WESTERN,MAHARASHTRA,HYDRO,625.91
2014-07,WESTERN,MAHARASHTRA,HYDRO,1192.33
2014-08,WESTERN,MAHARASHTRA,HYDRO,1423.94
2014-09,WESTERN,MAHARASHTRA,HYDRO,1121.18
2014-10,WESTERN,MAHARASHTRA,HYDRO,967.72
2014-11,WESTERN,MAHARASHTRA,HYDRO,789.1
2014-12,WESTERN,MAHARASHTRA,HYDRO,804.96
2015-01,WESTERN,MAHARASHTRA,HYDRO,625.58
2015-02,WESTERN,MAHARASHTRA,HYDRO,486.61
2015-03,WESTERN,MAHARASHTRA,HYDRO,472.81
2015-04,WESTERN,MAHARASHTRA,HYDRO,406.84
2015-05,WESTERN,MAHARASHTRA,HYDRO,441.51
2015-06,WESTERN,MAHARASHTRA,HYDRO,573.63
2015-07,WESTERN,MAHARASHTRA,HYDRO,597.19
2015-08,WESTERN,MAHARASHTRA,HYDRO,1168.39
2015-09,WESTERN,MAHARASHTRA,HYDRO,1470.54
2015-10,WESTERN,MAHARASHTRA,HYDRO,912.68
2015-11,WESTERN,MAHARASHTRA,HYDRO,723.35
2015-12,WESTERN,MAHARASHTRA,HYDRO,682.07
2016-01,WESTERN,MAHARASHTRA,HYDRO,526.63
2016-02,WESTERN,MAHARASHTRA,HYDRO,481.73
2016-03,WESTERN,MAHARASHTRA,HYDRO,353.05
2016-04,WESTERN,MAHARASHTRA,HYDRO,395.44
2016-05,WESTERN,MAHARASHTRA,HYDRO,235
2016-06,WESTERN,MAHARASHTRA,HYDRO,958.76
2016-07,WESTERN,MAHARASHTRA,HYDRO,1462.1
2016-08,WESTERN,MAHARASHTRA,HYDRO,926.94
2016-09,WESTERN,MAHARASHTRA,HYDRO,944.78
2016-10,WESTERN,MAHARASHTRA,HYDRO,684.79
2016-11,WESTERN,MAHARASHTRA,HYDRO,674.08
2016-12,WESTERN,MAHARASHTRA,HYDRO,687
