Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTH EASTERN,MANIPUR,HYDRO,743.22
2011-02,NORTH EASTERN,MANIPUR,HYDRO,631.96
2011-03,NORTH EASTERN,MANIPUR,HYDRO,580.94
2011-04,NORTH EASTERN,MANIPUR,HYDRO,506
2011-05,NORTH EASTERN,MANIPUR,HYDRO,424
2011-06,NORTH EASTERN,MANIPUR,HYDRO,280
2011-07,NORTH EASTERN,MANIPUR,HYDRO,376
2011-08,NORTH EASTERN,MANIPUR,HYDRO,904
2011-09,NORTH EASTERN,MANIPUR,HYDRO,428.73
2011-10,NORTH EASTERN,MANIPUR,HYDRO,520.43
2011-11,NORTH EASTERN,MANIPUR,HYDRO,443.77
2011-12,NORTH EASTERN,MANIPUR,HYDRO,536.36
2012-01,NORTH EASTERN,MANIPUR,HYDRO,719.13
2012-02,NORTH EASTERN,MANIPUR,HYDRO,662.23
2012-03,NORTH EASTERN,MANIPUR,HYDRO,749.55
2012-04,NORTH EASTERN,MANIPUR,HYDRO,1366.56
2012-05,NORTH EASTERN,MANIPUR,HYDRO,497.32
2012-06,NORTH EASTERN,MANIPUR,HYDRO,441.53
2012-07,NORTH EASTERN,MANIPUR,HYDRO,282.87
2012-08,NORTH EASTERN,MANIPUR,HYDRO,588.54
2012-09,NORTH EASTERN,MANIPUR,HYDRO,955.68
2012-10,NORTH EASTERN,MANIPUR,HYDRO,547.17
2012-11,NORTH EASTERN,MANIPUR,HYDRO,669
2012-12,NORTH EASTERN,MANIPUR,HYDRO,593
2013-01,NORTH EASTERN,MANIPUR,HYDRO,585.68
2013-02,NORTH EASTERN,MANIPUR,HYDRO,476.61
2013-03,NORTH EASTERN,MANIPUR,HYDRO,590.72
2013-04,NORTH EASTERN,MANIPUR,HYDRO,466.84
2013-05,NORTH EASTERN,MANIPUR,HYDRO,520.56
2013-06,NORTH EASTERN,MANIPUR,HYDRO,385.86
2013-07,NORTH EASTERN,MANIPUR,HYDRO,483.64
2013-08,NORTH EASTERN,MANIPUR,HYDRO,1036.98
2013-09,NORTH EASTERN,MANIPUR,HYDRO,1196.89
2013-10,NORTH EASTERN,MANIPUR,HYDRO,845.59
2013-11,NORTH EASTERN,MANIPUR,HYDRO,773.57
2013-12,NORTH EASTERN,MANIPUR,HYDRO,660.2
2014-01,NORTH EASTERN,MANIPUR,HYDRO,690.43
2014-02,NORTH EASTERN,MANIPUR,HYDRO,468.43
2014-03,NORTH EASTERN,MANIPUR,HYDRO,635.37
2014-04,NORTH EASTERN,MANIPUR,HYDRO,610.88
2014-05,NORTH EASTERN,MANIPUR,HYDRO,555
2014-06,NORTH EASTERN,MANIPUR,HYDRO,615.91
2014-07,NORTH EASTERN,MANIPUR,HYDRO,1182.33
2014-08,NORTH EASTERN,MANIPUR,HYDRO,1413.94
2014-09,NORTH EASTERN,MANIPUR,HYDRO,1111.18
2014-10,NORTH EASTERN,MANIPUR,HYDRO,957.72
2014-11,NORTH EASTERN,MANIPUR,HYDRO,779.1
2014-12,NORTH EASTERN,MANIPUR,HYDRO,794.96
2015-01,NORTH EASTERN,MANIPUR,HYDRO,615.58
2015-02,NORTH EASTERN,MANIPUR,HYDRO,476.61
2015-03,NORTH EASTERN,MANIPUR,HYDRO,462.81
2015-04,NORTH EASTERN,MANIPUR,HYDRO,396.84
2015-05,NORTH EASTERN,MANIPUR,HYDRO,431.51
2015-06,NORTH EASTERN,MANIPUR,HYDRO,563.63
2015-07,NORTH EASTERN,MANIPUR,HYDRO,587.19
2015-08,NORTH EASTERN,MANIPUR,HYDRO,1158.39
2015-09,NORTH EASTERN,MANIPUR,HYDRO,1460.54
2015-10,NORTH EASTERN,MANIPUR,HYDRO,902.68
2015-11,NORTH EASTERN,MANIPUR,HYDRO,713.35
2015-12,NORTH EASTERN,MANIPUR,HYDRO,672.07
2016-01,NORTH EASTERN,MANIPUR,HYDRO,516.63
2016-02,NORTH EASTERN,MANIPUR,HYDRO,471.73
2016-03,NORTH EASTERN,MANIPUR,HYDRO,343.05
2016-04,NORTH EASTERN,MANIPUR,HYDRO,385.44
2016-05,NORTH EASTERN,MANIPUR,HYDRO,225
2016-06,NORTH EASTERN,MANIPUR,HYDRO,948.76
2016-07,NORTH EASTERN,MANIPUR,HYDRO,1452.1
2016-08,NORTH EASTERN,MANIPUR,HYDRO,916.94
2016-09,NORTH EASTERN,MANIPUR,HYDRO,934.78
2016-10,NORTH EASTERN,MANIPUR,HYDRO,674.79
2016-11,NORTH EASTERN,MANIPUR,HYDRO,664.08
2016-12,NORTH EASTERN,MANIPUR,HYDRO,677
