Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTH EASTERN,NAGALAND,HYDRO,585.22
2011-02,NORTH EASTERN,NAGALAND,HYDRO,473.96
2011-03,NORTH EASTERN,NAGALAND,HYDRO,422.94
2011-04,NORTH EASTERN,NAGALAND,HYDRO,348
2011-05,NORTH EASTERN,NAGALAND,HYDRO,266
2011-06,NORTH EASTERN,NAGALAND,HYDRO,122
2011-07,NORTH EASTERN,NAGALAND,HYDRO,218
2011-08,NORTH EASTERN,NAGALAND,HYDRO,746
2011-09,NORTH EASTERN,NAGALAND,HYDRO,270.73
2011-10,NORTH EASTERN,NAGALAND,HYDRO,362.43
2011-11,NORTH EASTERN,NAGALAND,HYDRO,285.77
2011-12,NORTH EASTERN,NAGALAND,HYDRO,378.36
2012-01,NORTH EASTERN,NAGALAND,HYDRO,561.13
2012-02,NORTH EASTERN,NAGALAND,HYDRO,504.23
2012-03,NORTH EASTERN,NAGALAND,HYDRO,591.55
2012-04,NORTH EASTERN,NAGALAND,HYDRO,1208.56
2012-05,NORTH EASTERN,NAGALAND,HYDRO,339.32
2012-06,NORTH EASTERN,NAGALAND,HYDRO,283.53
2012-07,NORTH EASTERN,NAGALAND,HYDRO,124.87
2012-08,NORTH EASTERN,NAGALAND,HYDRO,430.54
2012-09,NORTH EASTERN,NAGALAND,HYDRO,797.68
2012-10,NORTH EASTERN,NAGALAND,HYDRO,389.17
2012-11,NORTH EASTERN,NAGALAND,HYDRO,511
2012-12,NORTH EASTERN,NAGALAND,HYDRO,435
2013-01,NORTH EASTERN,NAGALAND,HYDRO,427.68
2013-02,NORTH EASTERN,NAGALAND,HYDRO,318.61
2013-03,NORTH EASTERN,NAGALAND,HYDRO,432.72
2013-04,NORTH EASTERN,NAGALAND,HYDRO,308.84
2013-05,NORTH EASTERN,NAGALAND,HYDRO,362.56
2013-06,NORTH EASTERN,NAGALAND,HYDRO,227.86
2013-07,NORTH EASTERN,NAGALAND,HYDRO,325.64
2013-08,NORTH EASTERN,NAGALAND,HYDRO,878.98
2013-09,NORTH EASTERN,NAGALAND,HYDRO,1038.89
2013-10,NORTH EASTERN,NAGALAND,HYDRO,687.59
2013-11,NORTH EASTERN,NAGALAND,HYDRO,615.57
2013-12,NORTH EASTERN,NAGALAND,HYDRO,502.2
2014-01,NORTH EASTERN,NAGALAND,HYDRO,532.43
2014-02,NORTH EASTERN,NAGALAND,HYDRO,310.43
2014-03,NORTH EASTERN,NAGALAND,HYDRO,477.37
2014-04,NORTH EASTERN,NAGALAND,HYDRO,452.88
2014-05,NORTH EASTERN,NAGALAND,HYDRO,397
2014-06,NORTH EASTERN,NAGALAND,HYDRO,457.91
2014-07,NORTH EASTERN,NAGALAND,HYDRO,1024.33
2014-08,NORTH EASTERN,NAGALAND,HYDRO,1255.94
2014-09,NORTH EASTERN,NAGALAND,HYDRO,953.18
2014-10,NORTH EASTERN,NAGALAND,HYDRO,799.72
2014-11,NORTH EASTERN,NAGALAND,HYDRO,621.1
2014-12,NORTH EASTERN,NAGALAND,HYDRO,636.96
2015-01,NORTH EASTERN,NAGALAND,HYDRO,457.58
2015-02,NORTH EASTERN,NAGALAND,HYDRO,318.61
2015-03,NORTH EASTERN,NAGALAND,HYDRO,304.81
2015-04,NORTH EASTERN,NAGALAND,HYDRO,238.84
2015-05,NORTH EASTERN,NAGALAND,HYDRO,273.51
2015-06,NORTH EASTERN,NAGALAND,HYDRO,405.63
2015-07,NORTH EASTERN,NAGALAND,HYDRO,429.19
2015-08,NORTH EASTERN,NAGALAND,HYDRO,1000.39
2015-09,NORTH EASTERN,NAGALAND,HYDRO,1302.54
2015-10,NORTH EASTERN,NAGALAND,HYDRO,744.68
2015-11,NORTH EASTERN,NAGALAND,HYDRO,555.35
2015-12,NORTH EASTERN,NAGALAND,HYDRO,514.07
2016-01,NORTH EASTERN,NAGALAND,HYDRO,358.63
2016-02,NORTH EASTERN,NAGALAND,HYDRO,313.73
2016-03,NORTH EASTERN,NAGALAND,HYDRO,185.05
2016-04,NORTH EASTERN,NAGALAND,HYDRO,227.44
2016-05,NORTH EASTERN,NAGALAND,HYDRO,67
2016-06,NORTH EASTERN,NAGALAND,HYDRO,790.76
2016-07,NORTH EASTERN,NAGALAND,HYDRO,1294.1
2016-08,NORTH EASTERN,NAGALAND,HYDRO,758.94
2016-09,NORTH EASTERN,NAGALAND,HYDRO,776.78
2016-10,NORTH EASTERN,NAGALAND,HYDRO,516.79
2016-11,NORTH EASTERN,NAGALAND,HYDRO,506.08
2016-12,NORTH EASTERN,NAGALAND,HYDRO,519
