Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,EASTERN,ORISSA,HYDRO,736.22
2011-02,EASTERN,ORISSA,HYDRO,624.96
2011-03,EASTERN,ORISSA,HYDRO,573.94
2011-04,EASTERN,ORISSA,HYDRO,499
2011-05,EASTERN,ORISSA,HYDRO,417
2011-06,EASTERN,ORISSA,HYDRO,273
2011-07,EASTERN,ORISSA,HYDRO,369
2011-08,EASTERN,ORISSA,HYDRO,897
2011-09,EASTERN,ORISSA,HYDRO,421.73
2011-10,EASTERN,ORISSA,HYDRO,513.43
2011-11,EASTERN,ORISSA,HYDRO,436.77
2011-12,EASTERN,ORISSA,HYDRO,529.36
2012-01,EASTERN,ORISSA,HYDRO,712.13
2012-02,EASTERN,ORISSA,HYDRO,655.23
2012-03,EASTERN,ORISSA,HYDRO,742.55
2012-04,EASTERN,ORISSA,HYDRO,1359.56
2012-05,EASTERN,ORISSA,HYDRO,490.32
2012-06,EASTERN,ORISSA,HYDRO,434.53
2012-07,EASTERN,ORISSA,HYDRO,275.87
2012-08,EASTERN,ORISSA,HYDRO,581.54
2012-09,EASTERN,ORISSA,HYDRO,948.68
2012-10,EASTERN,ORISSA,HYDRO,540.17
2012-11,EASTERN,ORISSA,HYDRO,662
2012-12,EASTERN,ORISSA,HYDRO,586
2013-01,EASTERN,ORISSA,HYDRO,578.68
2013-02,EASTERN,ORISSA,HYDRO,469.61
2013-03,EASTERN,ORISSA,HYDRO,583.72
2013-04,EASTERN,ORISSA,HYDRO,459.84
2013-05,EASTERN,ORISSA,HYDRO,513.56
2013-06,EASTERN,ORISSA,HYDRO,378.86
2013-07,EASTERN,ORISSA,HYDRO,476.64
2013-08,EASTERN,ORISSA,HYDRO,1029.98
2013-09,EASTERN,ORISSA,HYDRO,1189.89
2013-10,EASTERN,ORISSA,HYDRO,838.59
2013-11,EASTERN,ORISSA,HYDRO,766.57
2013-12,EASTERN,ORISSA,HYDRO,653.2
2014-01,EASTERN,ORISSA,HYDRO,683.43
2014-02,EASTERN,ORISSA,HYDRO,461.43
2014-03,EASTERN,ORISSA,HYDRO,628.37
2014-04,EASTERN,ORISSA,HYDRO,603.88
2014-05,EASTERN,ORISSA,HYDRO,548
2014-06,EASTERN,ORISSA,HYDRO,608.91
2014-07,EASTERN,ORISSA,HYDRO,1175.33
2014-08,EASTERN,ORISSA,HYDRO,1406.94
2014-09,EASTERN,ORISSA,HYDRO,1104.18
2014-10,EASTERN,ORISSA,HYDRO,950.72
2014-11,EASTERN,ORISSA,HYDRO,772.1
2014-12,EASTERN,ORISSA,HYDRO,787.96
2015-01,EASTERN,ORISSA,HYDRO,608.58
2015-02,EASTERN,ORISSA,HYDRO,469.61
2015-03,EASTERN,ORISSA,HYDRO,455.81
2015-04,EASTERN,ORISSA,HYDRO,389.84
2015-05,EASTERN,ORISSA,HYDRO,424.51
2015-06,EASTERN,ORISSA,HYDRO,556.63
2015-07,EASTERN,ORISSA,HYDRO,580.19
2015-08,EASTERN,ORISSA,HYDRO,1151.39
2015-09,EASTERN,ORISSA,HYDRO,1453.54
2015-10,EASTERN,ORISSA,HYDRO,895.68
2015-11,EASTERN,ORISSA,HYDRO,706.35
2015-12,EASTERN,ORISSA,HYDRO,665.07
2016-01,EASTERN,ORISSA,HYDRO,509.63
2016-02,EASTERN,ORISSA,HYDRO,464.73
2016-03,EASTERN,ORISSA,HYDRO,336.05
2016-04,EASTERN,ORISSA,HYDRO,378.44
2016-05,EASTERN,ORISSA,HYDRO,218
2016-06,EASTERN,ORISSA,HYDRO,941.76
2016-07,EASTERN,ORISSA,HYDRO,1445.1
2016-08,EASTERN,ORISSA,HYDRO,909.94
2016-09,EASTERN,ORISSA,HYDRO,927.78
2016-10,EASTERN,ORISSA,HYDRO,667.79
2016-11,EASTERN,ORISSA,HYDRO,657.08
2016-12,EASTERN,ORISSA,HYDRO,670
