Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTHERN,PUNJAB,HYDRO,865.22
2011-02,NORTHERN,PUNJAB,HYDRO,753.96
2011-03,NORTHERN,PUNJAB,HYDRO,702.94
2011-04,NORTHERN,PUNJAB,HYDRO,628
2011-05,NORTHERN,PUNJAB,HYDRO,546
2011-06,NORTHERN,PUNJAB,HYDRO,402
2011-07,NORTHERN,PUNJAB,HYDRO,498
2011-08,NORTHERN,PUNJAB,HYDRO,1026
2011-09,NORTHERN,PUNJAB,HYDRO,550.73
2011-10,NORTHERN,PUNJAB,HYDRO,642.43
2011-11,NORTHERN,PUNJAB,HYDRO,565.77
2011-12,NORTHERN,PUNJAB,HYDRO,658.36
2012-01,NORTHERN,PUNJAB,HYDRO,841.13
2012-02,NORTHERN,PUNJAB,HYDRO,784.23
2012-03,NORTHERN,PUNJAB,HYDRO,871.55
2012-04,NORTHERN,PUNJAB,HYDRO,1488.56
2012-05,NORTHERN,PUNJAB,HYDRO,619.32
2012-06,NORTHERN,PUNJAB,HYDRO,563.53
2012-07,NORTHERN,PUNJAB,HYDRO,404.87
2012-08,NORTHERN,PUNJAB,HYDRO,710.54
2012-09,NORTHERN,PUNJAB,HYDRO,1077.68
2012-10,NORTHERN,PUNJAB,HYDRO,669.17
2012-11,NORTHERN,PUNJAB,HYDRO,791
2012-12,NORTHERN,PUNJAB,HYDRO,715
2013-01,NORTHERN,PUNJAB,HYDRO,707.68
2013-02,NORTHERN,PUNJAB,HYDRO,598.61
2013-03,NORTHERN,PUNJAB,HYDRO,712.72
2013-04,NORTHERN,PUNJAB,HYDRO,588.84
2013-05,NORTHERN,PUNJAB,HYDRO,642.56
2013-06,NORTHERN,PUNJAB,HYDRO,507.86
2013-07,NORTHERN,PUNJAB,HYDRO,605.64
2013-08,NORTHERN,PUNJAB,HYDRO,1158.98
2013-09,NORTHERN,PUNJAB,HYDRO,1318.89
2013-10,NORTHERN,PUNJAB,HYDRO,967.59
2013-11,NORTHERN,PUNJAB,HYDRO,895.57
2013-12,NORTHERN,PUNJAB,HYDRO,782.2
2014-01,NORTHERN,PUNJAB,HYDRO,812.43
2014-02,NORTHERN,PUNJAB,HYDRO,590.43
2014-03,NORTHERN,PUNJAB,HYDRO,757.37
2014-04,NORTHERN,PUNJAB,HYDRO,732.88
2014-05,NORTHERN,PUNJAB,HYDRO,677
2014-06,NORTHERN,PUNJAB,HYDRO,737.91
2014-07,NORTHERN,PUNJAB,HYDRO,1304.33
2014-08,NORTHERN,PUNJAB,HYDRO,1535.94
2014-09,NORTHERN,PUNJAB,HYDRO,1233.18
2014-10,NORTHERN,PUNJAB,HYDRO,1079.72
2014-11,NORTHERN,PUNJAB,HYDRO,901.1
2014-12,NORTHERN,PUNJAB,HYDRO,916.96
2015-01,NORTHERN,PUNJAB,HYDRO,737.58
2015-02,NORTHERN,PUNJAB,HYDRO,598.61
2015-03,NORTHERN,PUNJAB,HYDRO,584.81
2015-04,NORTHERN,PUNJAB,HYDRO,518.84
2015-05,NORTHERN,PUNJAB,HYDRO,553.51
2015-06,NORTHERN,PUNJAB,HYDRO,685.63
2015-07,NORTHERN,PUNJAB,HYDRO,709.19
2015-08,NORTHERN,PUNJAB,HYDRO,1280.39
2015-09,NORTHERN,PUNJAB,HYDRO,1582.54
2015-10,NORTHERN,PUNJAB,HYDRO,1024.68
2015-11,NORTHERN,PUNJAB,HYDRO,835.35
2015-12,NORTHERN,PUNJAB,HYDRO,794.07
2016-01,NORTHERN,PUNJAB,HYDRO,638.63
2016-02,NORTHERN,PUNJAB,HYDRO,593.73
2016-03,NORTHERN,PUNJAB,HYDRO,465.05
2016-04,NORTHERN,PUNJAB,HYDRO,507.44
2016-05,NORTHERN,PUNJAB,HYDRO,347
2016-06,NORTHERN,PUNJAB,HYDRO,1070.76
2016-07,NORTHERN,PUNJAB,HYDRO,1574.1
2016-08,NORTHERN,PUNJAB,HYDRO,1038.94
2016-09,NORTHERN,PUNJAB,HYDRO,1056.78
2016-10,NORTHERN,PUNJAB,HYDRO,796.79
2016-11,NORTHERN,PUNJAB,HYDRO,786.08
2016-12,NORTHERN,PUNJAB,HYDRO,799
