Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTHERN,RAJASTHAN,HYDRO,720.22
2011-02,NORTHERN,RAJASTHAN,HYDRO,608.96
2011-03,NORTHERN,RAJASTHAN,HYDRO,557.94
2011-04,NORTHERN,RAJASTHAN,HYDRO,483
2011-05,NORTHERN,RAJASTHAN,HYDRO,401
2011-06,NORTHERN,RAJASTHAN,HYDRO,257
2011-07,NORTHERN,RAJASTHAN,HYDRO,353
2011-08,NORTHERN,RAJASTHAN,HYDRO,881
2011-09,NORTHERN,RAJASTHAN,HYDRO,405.73
2011-10,NORTHERN,RAJASTHAN,HYDRO,497.43
2011-11,NORTHERN,RAJASTHAN,HYDRO,420.77
2011-12,NORTHERN,RAJASTHAN,HYDRO,513.36
2012-01,NORTHERN,RAJASTHAN,HYDRO,696.13
2012-02,NORTHERN,RAJASTHAN,HYDRO,639.23
2012-03,NORTHERN,RAJASTHAN,HYDRO,726.55
2012-04,NORTHERN,RAJASTHAN,HYDRO,1343.56
2012-05,NORTHERN,RAJASTHAN,HYDRO,474.32
2012-06,NORTHERN,RAJASTHAN,HYDRO,418.53
2012-07,NORTHERN,RAJASTHAN,HYDRO,259.87
2012-08,NORTHERN,RAJASTHAN,HYDRO,565.54
2012-09,NORTHERN,RAJASTHAN,HYDRO,932.68
2012-10,NORTHERN,RAJASTHAN,HYDRO,524.17
2012-11,NORTHERN,RAJASTHAN,HYDRO,646
2012-12,NORTHERN,RAJASTHAN,HYDRO,570
2013-01,NORTHERN,RAJASTHAN,HYDRO,562.68
2013-02,NORTHERN,RAJASTHAN,HYDRO,453.61
2013-03,NORTHERN,RAJASTHAN,HYDRO,567.72
2013-04,NORTHERN,RAJASTHAN,HYDRO,443.84
2013-05,NORTHERN,RAJASTHAN,HYDRO,497.56
2013-06,NORTHERN,RAJASTHAN,HYDRO,362.86
2013-07,NORTHERN,RAJASTHAN,HYDRO,460.64
2013-08,NORTHERN,RAJASTHAN,HYDRO,1013.98
2013-09,NORTHERN,RAJASTHAN,HYDRO,1173.89
2013-10,NORTHERN,RAJASTHAN,HYDRO,822.59
2013-11,NORTHERN,RAJASTHAN,HYDRO,750.57
2013-12,NORTHERN,RAJASTHAN,HYDRO,637.2
2014-01,NORTHERN,RAJASTHAN,HYDRO,667.43
2014-02,NORTHERN,RAJASTHAN,HYDRO,445.43
2014-03,NORTHERN,RAJASTHAN,HYDRO,612.37
2014-04,NORTHERN,RAJASTHAN,HYDRO,587.88
2014-05,NORTHERN,RAJASTHAN,HYDRO,532
2014-06,NORTHERN,RAJASTHAN,HYDRO,592.91
2014-07,NORTHERN,RAJASTHAN,HYDRO,1159.33
2014-08,NORTHERN,RAJASTHAN,HYDRO,1390.94
2014-09,NORTHERN,RAJASTHAN,HYDRO,1088.18
2014-10,NORTHERN,RAJASTHAN,HYDRO,934.72
2014-11,NORTHERN,RAJASTHAN,HYDRO,756.1
2014-12,NORTHERN,RAJASTHAN,HYDRO,771.96
2015-01,NORTHERN,RAJASTHAN,HYDRO,592.58
2015-02,NORTHERN,RAJASTHAN,HYDRO,453.61
2015-03,NORTHERN,RAJASTHAN,HYDRO,439.81
2015-04,NORTHERN,RAJASTHAN,HYDRO,373.84
2015-05,NORTHERN,RAJASTHAN,HYDRO,408.51
2015-06,NORTHERN,RAJASTHAN,HYDRO,540.63
2015-07,NORTHERN,RAJASTHAN,HYDRO,564.19
2015-08,NORTHERN,RAJASTHAN,HYDRO,1135.39
2015-09,NORTHERN,RAJASTHAN,HYDRO,1437.54
2015-10,NORTHERN,RAJASTHAN,HYDRO,879.68
2015-11,NORTHERN,RAJASTHAN,HYDRO,690.35
2015-12,NORTHERN,RAJASTHAN,HYDRO,649.07
2016-01,NORTHERN,RAJASTHAN,HYDRO,493.63
2016-02,NORTHERN,RAJASTHAN,HYDRO,448.73
2016-03,NORTHERN,RAJASTHAN,HYDRO,320.05
2016-04,NORTHERN,RAJASTHAN,HYDRO,362.44
2016-05,NORTHERN,RAJASTHAN,HYDRO,202
2016-06,NORTHERN,RAJASTHAN,HYDRO,925.76
2016-07,NORTHERN,RAJASTHAN,HYDRO,1429.1
2016-08,NORTHERN,RAJASTHAN,HYDRO,893.94
2016-09,NORTHERN,RAJASTHAN,HYDRO,911.78
2016-10,NORTHERN,RAJASTHAN,HYDRO,651.79
2016-11,NORTHERN,RAJASTHAN,HYDRO,641.08
2016-12,NORTHERN,RAJASTHAN,HYDRO,654
