Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,EASTERN,SIKKIM,HYDRO,863.22
2011-02,EASTERN,SIKKIM,HYDRO,751.96
2011-03,EASTERN,SIKKIM,HYDRO,700.94
2011-04,EASTERN,SIKKIM,HYDRO,626
2011-05,EASTERN,SIKKIM,HYDRO,544
2011-06,EASTERN,SIKKIM,HYDRO,400
2011-07,EASTERN,SIKKIM,HYDRO,496
2011-08,EASTERN,SIKKIM,HYDRO,1024
2011-09,EASTERN,SIKKIM,HYDRO,548.73
2011-10,EASTERN,SIKKIM,HYDRO,640.43
2011-11,EASTERN,SIKKIM,HYDRO,563.77
2011-12,EASTERN,SIKKIM,HYDRO,656.36
2012-01,EASTERN,SIKKIM,HYDRO,839.13
2012-02,EASTERN,SIKKIM,HYDRO,782.23
2012-03,EASTERN,SIKKIM,HYDRO,869.55
2012-04,EASTERN,SIKKIM,HYDRO,1486.56
2012-05,EASTERN,SIKKIM,HYDRO,617.32
2012-06,EASTERN,SIKKIM,HYDRO,561.53
2012-07,EASTERN,SIKKIM,HYDRO,402.87
2012-08,EASTERN,SIKKIM,HYDRO,708.54
2012-09,EASTERN,SIKKIM,HYDRO,1075.68
2012-10,EASTERN,SIKKIM,HYDRO,667.17
2012-11,EASTERN,SIKKIM,HYDRO,789
2012-12,EASTERN,SIKKIM,HYDRO,713
2013-01,EASTERN,SIKKIM,HYDRO,705.68
2013-02,EASTERN,SIKKIM,HYDRO,596.61
2013-03,EASTERN,SIKKIM,HYDRO,710.72
2013-04,EASTERN,SIKKIM,HYDRO,586.84
2013-05,EASTERN,SIKKIM,HYDRO,640.56
2013-06,EASTERN,SIKKIM,HYDRO,505.86
2013-07,EASTERN,SIKKIM,HYDRO,603.64
2013-08,EASTERN,SIKKIM,HYDRO,1156.98
2013-09,EASTERN,SIKKIM,HYDRO,1316.89
2013-10,EASTERN,SIKKIM,HYDRO,965.59
2013-11,EASTERN,SIKKIM,HYDRO,893.57
2013-12,EASTERN,SIKKIM,HYDRO,780.2
2014-01,EASTERN,SIKKIM,HYDRO,810.43
2014-02,EASTERN,SIKKIM,HYDRO,588.43
2014-03,EASTERN,SIKKIM,HYDRO,755.37
2014-04,EASTERN,SIKKIM,HYDRO,730.88
2014-05,EASTERN,SIKKIM,HYDRO,675
2014-06,EASTERN,SIKKIM,HYDRO,735.91
2014-07,EASTERN,SIKKIM,HYDRO,1302.33
2014-08,EASTERN,SIKKIM,HYDRO,1533.94
2014-09,EASTERN,SIKKIM,HYDRO,1231.18
2014-10,EASTERN,SIKKIM,HYDRO,1077.72
2014-11,EASTERN,SIKKIM,HYDRO,899.1
2014-12,EASTERN,SIKKIM,HYDRO,914.96
2015-01,EASTERN,SIKKIM,HYDRO,735.58
2015-02,EASTERN,SIKKIM,HYDRO,596.61
2015-03,EASTERN,SIKKIM,HYDRO,582.81
2015-04,EASTERN,SIKKIM,HYDRO,516.84
2015-05,EASTERN,SIKKIM,HYDRO,551.51
2015-06,EASTERN,SIKKIM,HYDRO,683.63
2015-07,EASTERN,SIKKIM,HYDRO,707.19
2015-08,EASTERN,SIKKIM,HYDRO,1278.39
2015-09,EASTERN,SIKKIM,HYDRO,1580.54
2015-10,EASTERN,SIKKIM,HYDRO,1022.68
2015-11,EASTERN,SIKKIM,HYDRO,833.35
2015-12,EASTERN,SIKKIM,HYDRO,792.07
2016-01,EASTERN,SIKKIM,HYDRO,636.63
2016-02,EASTERN,SIKKIM,HYDRO,591.73
2016-03,EASTERN,SIKKIM,HYDRO,463.05
2016-04,EASTERN,SIKKIM,HYDRO,505.44
2016-05,EASTERN,SIKKIM,HYDRO,345
2016-06,EASTERN,SIKKIM,HYDRO,1068.76
2016-07,EASTERN,SIKKIM,HYDRO,1572.1
2016-08,EASTERN,SIKKIM,HYDRO,1036.94
2016-09,EASTERN,SIKKIM,HYDRO,1054.78
2016-10,EASTERN,SIKKIM,HYDRO,794.79
2016-11,EASTERN,SIKKIM,HYDRO,784.08
2016-12,EASTERN,SIKKIM,HYDRO,797
