Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,SOUTHERN,TAMIL NADU,HYDRO,835.22
2011-02,SOUTHERN,TAMIL NADU,HYDRO,723.96
2011-03,SOUTHERN,TAMIL NADU,HYDRO,672.94
2011-04,SOUTHERN,TAMIL NADU,HYDRO,598
2011-05,SOUTHERN,TAMIL NADU,HYDRO,516
2011-06,SOUTHERN,TAMIL NADU,HYDRO,372
2011-07,SOUTHERN,TAMIL NADU,HYDRO,468
2011-08,SOUTHERN,TAMIL NADU,HYDRO,996
2011-09,SOUTHERN,TAMIL NADU,HYDRO,520.73
2011-10,SOUTHERN,TAMIL NADU,HYDRO,612.43
2011-11,SOUTHERN,TAMIL NADU,HYDRO,535.77
2011-12,SOUTHERN,TAMIL NADU,HYDRO,628.36
2012-01,SOUTHERN,TAMIL NADU,HYDRO,811.13
2012-02,SOUTHERN,TAMIL NADU,HYDRO,754.23
2012-03,SOUTHERN,TAMIL NADU,HYDRO,841.55
2012-04,SOUTHERN,TAMIL NADU,HYDRO,1458.56
2012-05,SOUTHERN,TAMIL NADU,HYDRO,589.32
2012-06,SOUTHERN,TAMIL NADU,HYDRO,533.53
2012-07,SOUTHERN,TAMIL NADU,HYDRO,374.87
2012-08,SOUTHERN,TAMIL NADU,HYDRO,680.54
2012-09,SOUTHERN,TAMIL NADU,HYDRO,1047.68
2012-10,SOUTHERN,TAMIL NADU,HYDRO,639.17
2012-11,SOUTHERN,TAMIL NADU,HYDRO,761
2012-12,SOUTHERN,TAMIL NADU,HYDRO,685
2013-01,SOUTHERN,TAMIL NADU,HYDRO,677.68
2013-02,SOUTHERN,TAMIL NADU,HYDRO,568.61
2013-03,SOUTHERN,TAMIL NADU,HYDRO,682.72
2013-04,SOUTHERN,TAMIL NADU,HYDRO,558.84
2013-05,SOUTHERN,TAMIL NADU,HYDRO,612.56
2013-06,SOUTHERN,TAMIL NADU,HYDRO,477.86
2013-07,SOUTHERN,TAMIL NADU,HYDRO,575.64
2013-08,SOUTHERN,TAMIL NADU,HYDRO,1128.98
2013-09,SOUTHERN,TAMIL NADU,HYDRO,1288.89
2013-10,SOUTHERN,TAMIL NADU,HYDRO,937.59
2013-11,SOUTHERN,TAMIL NADU,HYDRO,865.57
2013-12,SOUTHERN,TAMIL NADU,HYDRO,752.2
2014-01,SOUTHERN,TAMIL NADU,HYDRO,782.43
2014-02,SOUTHERN,TAMIL NADU,HYDRO,560.43
2014-03,SOUTHERN,TAMIL NADU,HYDRO,727.37
2014-04,SOUTHERN,TAMIL NADU,HYDRO,702.88
2014-05,SOUTHERN,TAMIL NADU,HYDRO,647
2014-06,SOUTHERN,TAMIL NADU,HYDRO,707.91
2014-07,SOUTHERN,TAMIL NADU,HYDRO,1274.33
2014-08,SOUTHERN,TAMIL NADU,HYDRO,1505.94
2014-09,SOUTHERN,TAMIL NADU,HYDRO,1203.18
2014-10,SOUTHERN,TAMIL NADU,HYDRO,1049.72
2014-11,SOUTHERN,TAMIL NADU,HYDRO,871.1
2014-12,SOUTHERN,TAMIL NADU,HYDRO,886.96
2015-01,SOUTHERN,TAMIL NADU,HYDRO,707.58
2015-02,SOUTHERN,TAMIL NADU,HYDRO,568.61
2015-03,SOUTHERN,TAMIL NADU,HYDRO,554.81
2015-04,SOUTHERN,TAMIL NADU,HYDRO,488.84
2015-05,SOUTHERN,TAMIL NADU,HYDRO,523.51
2015-06,SOUTHERN,TAMIL NADU,HYDRO,655.63
2015-07,SOUTHERN,TAMIL NADU,HYDRO,679.19
2015-08,SOUTHERN,TAMIL NADU,HYDRO,1250.39
2015-09,SOUTHERN,TAMIL NADU,HYDRO,1552.54
2015-10,SOUTHERN,TAMIL NADU,HYDRO,994.68
2015-11,SOUTHERN,TAMIL NADU,HYDRO,805.35
2015-12,SOUTHERN,TAMIL NADU,HYDRO,764.07
2016-01,SOUTHERN,TAMIL NADU,HYDRO,608.63
2016-02,SOUTHERN,TAMIL NADU,HYDRO,563.73
2016-03,SOUTHERN,TAMIL NADU,HYDRO,435.05
2016-04,SOUTHERN,TAMIL NADU,HYDRO,477.44
2016-05,SOUTHERN,TAMIL NADU,HYDRO,317
2016-06,SOUTHERN,TAMIL NADU,HYDRO,1040.76
2016-07,SOUTHERN,TAMIL NADU,HYDRO,1544.1
2016-08,SOUTHERN,TAMIL NADU,HYDRO,1008.94
2016-09,SOUTHERN,TAMIL NADU,HYDRO,1026.78
2016-10,SOUTHERN,TAMIL NADU,HYDRO,766.79
2016-11,SOUTHERN,TAMIL NADU,HYDRO,756.08
2016-12,SOUTHERN,TAMIL NADU,HYDRO,769
