Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTH EASTERN,TRIPURA,HYDRO,714.22
2011-02,NORTH EASTERN,TRIPURA,HYDRO,602.96
2011-03,NORTH EASTERN,TRIPURA,HYDRO,551.94
2011-04,NORTH EASTERN,TRIPURA,HYDRO,477
2011-05,NORTH EASTERN,TRIPURA,HYDRO,395
2011-06,NORTH EASTERN,TRIPURA,HYDRO,251
2011-07,NORTH EASTERN,TRIPURA,HYDRO,347
2011-08,NORTH EASTERN,TRIPURA,HYDRO,875
2011-09,NORTH EASTERN,TRIPURA,HYDRO,399.73
2011-10,NORTH EASTERN,TRIPURA,HYDRO,491.43
2011-11,NORTH EASTERN,TRIPURA,HYDRO,414.77
2011-12,NORTH EASTERN,TRIPURA,HYDRO,507.36
2012-01,NORTH EASTERN,TRIPURA,HYDRO,690.13
2012-02,NORTH EASTERN,TRIPURA,HYDRO,633.23
2012-03,NORTH EASTERN,TRIPURA,HYDRO,720.55
2012-04,NORTH EASTERN,TRIPURA,HYDRO,1337.56
2012-05,NORTH EASTERN,TRIPURA,HYDRO,468.32
2012-06,NORTH EASTERN,TRIPURA,HYDRO,412.53
2012-07,NORTH EASTERN,TRIPURA,HYDRO,253.87
2012-08,NORTH EASTERN,TRIPURA,HYDRO,559.54
2012-09,NORTH EASTERN,TRIPURA,HYDRO,926.68
2012-10,NORTH EASTERN,TRIPURA,HYDRO,518.17
2012-11,NORTH EASTERN,TRIPURA,HYDRO,640
2012-12,NORTH EASTERN,TRIPURA,HYDRO,564
2013-01,NORTH EASTERN,TRIPURA,HYDRO,556.68
2013-02,NORTH EASTERN,TRIPURA,HYDRO,447.61
2013-03,NORTH EASTERN,TRIPURA,HYDRO,561.72
2013-04,NORTH EASTERN,TRIPURA,HYDRO,437.84
2013-05,NORTH EASTERN,TRIPURA,HYDRO,491.56
2013-06,NORTH EASTERN,TRIPURA,HYDRO,356.86
2013-07,NORTH EASTERN,TRIPURA,HYDRO,454.64
2013-08,NORTH EASTERN,TRIPURA,HYDRO,1007.98
2013-09,NORTH EASTERN,TRIPURA,HYDRO,1167.89
2013-10,NORTH EASTERN,TRIPURA,HYDRO,816.59
2013-11,NORTH EASTERN,TRIPURA,HYDRO,744.57
2013-12,NORTH EASTERN,TRIPURA,HYDRO,631.2
2014-01,NORTH EASTERN,TRIPURA,HYDRO,661.43
2014-02,NORTH EASTERN,TRIPURA,HYDRO,439.43
2014-03,NORTH EASTERN,TRIPURA,HYDRO,606.37
2014-04,NORTH EASTERN,TRIPURA,HYDRO,581.88
2014-05,NORTH EASTERN,TRIPURA,HYDRO,526
2014-06,NORTH EASTERN,TRIPURA,HYDRO,586.91
2014-07,NORTH EASTERN,TRIPURA,HYDRO,1153.33
2014-08,NORTH EASTERN,TRIPURA,HYDRO,1384.94
2014-09,NORTH EASTERN,TRIPURA,HYDRO,1082.18
2014-10,NORTH EASTERN,TRIPURA,HYDRO,928.72
2014-11,NORTH EASTERN,TRIPURA,HYDRO,750.1
2014-12,NORTH EASTERN,TRIPURA,HYDRO,765.96
2015-01,NORTH EASTERN,TRIPURA,HYDRO,586.58
2015-02,NORTH EASTERN,TRIPURA,HYDRO,447.61
2015-03,NORTH EASTERN,TRIPURA,HYDRO,433.81
2015-04,NORTH EASTERN,TRIPURA,HYDRO,367.84
2015-05,NORTH EASTERN,TRIPURA,HYDRO,402.51
2015-06,NORTH EASTERN,TRIPURA,HYDRO,534.63
2015-07,NORTH EASTERN,TRIPURA,HYDRO,558.19
2015-08,NORTH EASTERN,TRIPURA,HYDRO,1129.39
2015-09,NORTH EASTERN,TRIPURA,HYDRO,1431.54
2015-10,NORTH EASTERN,TRIPURA,HYDRO,873.68
2015-11,NORTH EASTERN,TRIPURA,HYDRO,684.35
2015-12,NORTH EASTERN,TRIPURA,HYDRO,643.07
2016-01,NORTH EASTERN,TRIPURA,HYDRO,487.63
2016-02,NORTH EASTERN,TRIPURA,HYDRO,442.73
2016-03,NORTH EASTERN,TRIPURA,HYDRO,314.05
2016-04,NORTH EASTERN,TRIPURA,HYDRO,356.44
2016-05,NORTH EASTERN,TRIPURA,HYDRO,196
2016-06,NORTH EASTERN,TRIPURA,HYDRO,919.76
2016-07,NORTH EASTERN,TRIPURA,HYDRO,1423.1
2016-08,NORTH EASTERN,TRIPURA,HYDRO,887.94
2016-09,NORTH EASTERN,TRIPURA,HYDRO,905.78
2016-10,NORTH EASTERN,TRIPURA,HYDRO,645.79
2016-11,NORTH EASTERN,TRIPURA,HYDRO,635.08
2016-12,NORTH EASTERN,TRIPURA,HYDRO,648
