Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,NORTHERN,UTTARAKHAND,HYDRO,750.22
2011-02,NORTHERN,UTTARAKHAND,HYDRO,638.96
2011-03,NORTHERN,UTTARAKHAND,HYDRO,587.94
2011-04,NORTHERN,UTTARAKHAND,HYDRO,513
2011-05,NORTHERN,UTTARAKHAND,HYDRO,431
2011-06,NORTHERN,UTTARAKHAND,HYDRO,287
2011-07,NORTHERN,UTTARAKHAND,HYDRO,383
2011-08,NORTHERN,UTTARAKHAND,HYDRO,911
2011-09,NORTHERN,UTTARAKHAND,HYDRO,435.73
2011-10,NORTHERN,UTTARAKHAND,HYDRO,527.43
2011-11,NORTHERN,UTTARAKHAND,HYDRO,450.77
2011-12,NORTHERN,UTTARAKHAND,HYDRO,543.36
2012-01,NORTHERN,UTTARAKHAND,HYDRO,726.13
2012-02,NORTHERN,UTTARAKHAND,HYDRO,669.23
2012-03,NORTHERN,UTTARAKHAND,HYDRO,756.55
2012-04,NORTHERN,UTTARAKHAND,HYDRO,1373.56
2012-05,NORTHERN,UTTARAKHAND,HYDRO,504.32
2012-06,NORTHERN,UTTARAKHAND,HYDRO,448.53
2012-07,NORTHERN,UTTARAKHAND,HYDRO,289.87
2012-08,NORTHERN,UTTARAKHAND,HYDRO,595.54
2012-09,NORTHERN,UTTARAKHAND,HYDRO,962.68
2012-10,NORTHERN,UTTARAKHAND,HYDRO,554.17
2012-11,NORTHERN,UTTARAKHAND,HYDRO,676
2012-12,NORTHERN,UTTARAKHAND,HYDRO,600
2013-01,NORTHERN,UTTARAKHAND,HYDRO,592.68
2013-02,NORTHERN,UTTARAKHAND,HYDRO,483.61
2013-03,NORTHERN,UTTARAKHAND,HYDRO,597.72
2013-04,NORTHERN,UTTARAKHAND,HYDRO,473.84
2013-05,NORTHERN,UTTARAKHAND,HYDRO,527.56
2013-06,NORTHERN,UTTARAKHAND,HYDRO,392.86
2013-07,NORTHERN,UTTARAKHAND,HYDRO,490.64
2013-08,NORTHERN,UTTARAKHAND,HYDRO,1043.98
2013-09,NORTHERN,UTTARAKHAND,HYDRO,1203.89
2013-10,NORTHERN,UTTARAKHAND,HYDRO,852.59
2013-11,NORTHERN,UTTARAKHAND,HYDRO,780.57
2013-12,NORTHERN,UTTARAKHAND,HYDRO,667.2
2014-01,NORTHERN,UTTARAKHAND,HYDRO,697.43
2014-02,NORTHERN,UTTARAKHAND,HYDRO,475.43
2014-03,NORTHERN,UTTARAKHAND,HYDRO,642.37
2014-04,NORTHERN,UTTARAKHAND,HYDRO,617.88
2014-05,NORTHERN,UTTARAKHAND,HYDRO,562
2014-06,NORTHERN,UTTARAKHAND,HYDRO,622.91
2014-07,NORTHERN,UTTARAKHAND,HYDRO,1189.33
2014-08,NORTHERN,UTTARAKHAND,HYDRO,1420.94
2014-09,NORTHERN,UTTARAKHAND,HYDRO,1118.18
2014-10,NORTHERN,UTTARAKHAND,HYDRO,964.72
2014-11,NORTHERN,UTTARAKHAND,HYDRO,786.1
2014-12,NORTHERN,UTTARAKHAND,HYDRO,801.96
2015-01,NORTHERN,UTTARAKHAND,HYDRO,622.58
2015-02,NORTHERN,UTTARAKHAND,HYDRO,483.61
2015-03,NORTHERN,UTTARAKHAND,HYDRO,469.81
2015-04,NORTHERN,UTTARAKHAND,HYDRO,403.84
2015-05,NORTHERN,UTTARAKHAND,HYDRO,438.51
2015-06,NORTHERN,UTTARAKHAND,HYDRO,570.63
2015-07,NORTHERN,UTTARAKHAND,HYDRO,594.19
2015-08,NORTHERN,UTTARAKHAND,HYDRO,1165.39
2015-09,NORTHERN,UTTARAKHAND,HYDRO,1467.54
2015-10,NORTHERN,UTTARAKHAND,HYDRO,909.68
2015-11,NORTHERN,UTTARAKHAND,HYDRO,720.35
2015-12,NORTHERN,UTTARAKHAND,HYDRO,679.07
2016-01,NORTHERN,UTTARAKHAND,HYDRO,523.63
2016-02,NORTHERN,UTTARAKHAND,HYDRO,478.73
2016-03,NORTHERN,UTTARAKHAND,HYDRO,350.05
2016-04,NORTHERN,UTTARAKHAND,HYDRO,392.44
2016-05,NORTHERN,UTTARAKHAND,HYDRO,232
2016-06,NORTHERN,UTTARAKHAND,HYDRO,955.76
2016-07,NORTHERN,UTTARAKHAND,HYDRO,1459.1
2016-08,NORTHERN,UTTARAKHAND,HYDRO,923.94
2016-09,NORTHERN,UTTARAKHAND,HYDRO,941.78
2016-10,NORTHERN,UTTARAKHAND,HYDRO,681.79
2016-11,NORTHERN,UTTARAKHAND,HYDRO,671.08
2016-12,NORTHERN,UTTARAKHAND,HYDRO,684
