Month,REGION,STATE,CATEGORY,ACTUAL GENERATION
2011-01,EASTERN,WEST BENGAL,HYDRO,822.22
2011-02,EASTERN,WEST BENGAL,HYDRO,710.96
2011-03,EASTERN,WEST BENGAL,HYDRO,659.94
2011-04,EASTERN,WEST BENGAL,HYDRO,585
2011-05,EASTERN,WEST BENGAL,HYDRO,503
2011-06,EASTERN,WEST BENGAL,HYDRO,359
2011-07,EASTERN,WEST BENGAL,HYDRO,455
2011-08,EASTERN,WEST BENGAL,HYDRO,983
2011-09,EASTERN,WEST BENGAL,HYDRO,507.73
2011-10,EASTERN,WEST BENGAL,HYDRO,599.43
2011-11,EASTERN,WEST BENGAL,HYDRO,522.77
2011-12,EASTERN,WEST BENGAL,HYDRO,615.36
2012-01,EASTERN,WEST BENGAL,HYDRO,798.13
2012-02,EASTERN,WEST BENGAL,HYDRO,741.23
2012-03,EASTERN,WEST BENGAL,HYDRO,828.55
2012-04,EASTERN,WEST BENGAL,HYDRO,1445.56
2012-05,EASTERN,WEST BENGAL,HYDRO,576.32
2012-06,EASTERN,WEST BENGAL,HYDRO,520.53
2012-07,EASTERN,WEST BENGAL,HYDRO,361.87
2012-08,EASTERN,WEST BENGAL,HYDRO,667.54
2012-09,EASTERN,WEST BENGAL,HYDRO,1034.68
2012-10,EASTERN,WEST BENGAL,HYDRO,626.17
2012-11,EASTERN,WEST BENGAL,HYDRO,748
2012-12,EASTERN,WEST BENGAL,HYDRO,672
2013-01,EASTERN,WEST BENGAL,HYDRO,664.68
2013-02,EASTERN,WEST BENGAL,HYDRO,555.61
2013-03,EASTERN,WEST BENGAL,HYDRO,669.72
2013-04,EASTERN,WEST BENGAL,HYDRO,545.84
2013-05,EASTERN,WEST BENGAL,HYDRO,599.56
2013-06,EASTERN,WEST BENGAL,HYDRO,464.86
2013-07,EASTERN,WEST BENGAL,HYDRO,562.64
2013-08,EASTERN,WEST BENGAL,HYDRO,1115.98
2013-09,EASTERN,WEST BENGAL,HYDRO,1275.89
2013-10,EASTERN,WEST BENGAL,HYDRO,924.59
2013-11,EASTERN,WEST BENGAL,HYDRO,852.57
2013-12,EASTERN,WEST BENGAL,HYDRO,739.2
2014-01,EASTERN,WEST BENGAL,HYDRO,769.43
2014-02,EASTERN,WEST BENGAL,HYDRO,547.43
2014-03,EASTERN,WEST BENGAL,HYDRO,714.37
2014-04,EASTERN,WEST BENGAL,HYDRO,689.88
2014-05,EASTERN,WEST BENGAL,HYDRO,634
2014-06,EASTERN,WEST BENGAL,HYDRO,694.91
2014-07,EASTERN,WEST BENGAL,HYDRO,1261.33
2014-08,EASTERN,WEST BENGAL,HYDRO,1492.94
2014-09,EASTERN,WEST BENGAL,HYDRO,1190.18
2014-10,EASTERN,WEST BENGAL,HYDRO,1036.72
2014-11,EASTERN,WEST BENGAL,HYDRO,858.1
2014-12,EASTERN,WEST BENGAL,HYDRO,873.96
2015-01,EASTERN,WEST BENGAL,HYDRO,694.58
2015-02,EASTERN,WEST BENGAL,HYDRO,555.61
2015-03,EASTERN,WEST BENGAL,HYDRO,541.81
2015-04,EASTERN,WEST BENGAL,HYDRO,475.84
2015-05,EASTERN,WEST BENGAL,HYDRO,510.51
2015-06,EASTERN,WEST BENGAL,HYDRO,642.63
2015-07,EASTERN,WEST BENGAL,HYDRO,666.19
2015-08,EASTERN,WEST BENGAL,HYDRO,1237.39
2015-09,EASTERN,WEST BENGAL,HYDRO,1539.54
2015-10,EASTERN,WEST BENGAL,HYDRO,981.68
2015-11,EASTERN,WEST BENGAL,HYDRO,792.35
2015-12,EASTERN,WEST BENGAL,HYDRO,751.07
2016-01,EASTERN,WEST BENGAL,HYDRO,595.63
2016-02,EASTERN,WEST BENGAL,HYDRO,550.73
2016-03,EASTERN,WEST BENGAL,HYDRO,422.05
2016-04,EASTERN,WEST BENGAL,HYDRO,464.44
2016-05,EASTERN,WEST BENGAL,HYDRO,304
2016-06,EASTERN,WEST BENGAL,HYDRO,1027.76
2016-07,EASTERN,WEST BENGAL,HYDRO,1531.1
2016-08,EASTERN,WEST BENGAL,HYDRO,995.94
2016-09,EASTERN,WEST BENGAL,HYDRO,1013.78
2016-10,EASTERN,WEST BENGAL,HYDRO,753.79
2016-11,EASTERN,WEST BENGAL,HYDRO,743.08
2016-12,EASTERN,WEST BENGAL,HYDRO,756
