Month,ACTUAL GENERATION
2011-01,685.22
2011-02,573.96
2011-03,522.94
2011-04,448
2011-05,366
2011-06,222
2011-07,318
2011-08,846
2011-09,370.73
2011-10,462.43
2011-11,385.77
2011-12,478.36
2012-01,661.13
2012-02,604.23
2012-03,691.55
2012-04,1308.56
2012-05,439.32
2012-06,383.53
2012-07,224.87
2012-08,530.54
2012-09,897.68
2012-10,489.17
2012-11,611
2012-12,535
2013-01,527.68
2013-02,418.61
2013-03,532.72
2013-04,408.84
2013-05,462.56
2013-06,327.86
2013-07,425.64
2013-08,978.98
2013-09,1138.89
2013-10,787.59
2013-11,715.57
2013-12,602.2
2014-01,632.43
2014-02,410.43
2014-03,577.37
2014-04,552.88
2014-05,497
2014-06,557.91
2014-07,1124.33
2014-08,1355.94
2014-09,1053.18
2014-10,899.72
2014-11,721.1
2014-12,736.96
2015-01,557.58
2015-02,418.61
2015-03,404.81
2015-04,338.84
2015-05,373.51
2015-06,505.63
2015-07,529.19
2015-08,1100.39
2015-09,1402.54
2015-10,844.68
2015-11,655.35
2015-12,614.07
2016-01,458.63
2016-02,413.73
2016-03,285.05
2016-04,327.44
2016-05,167
2016-06,890.76
2016-07,1394.1
2016-08,858.94
2016-09,876.78
2016-10,616.79
2016-11,606.08
2016-12,619
