Month,ACTUAL GENERATION
2011-01,677.22
2011-02,565.96
2011-03,514.94
2011-04,440
2011-05,358
2011-06,214
2011-07,310
2011-08,838
2011-09,362.73
2011-10,454.43
2011-11,377.77
2011-12,470.36
2012-01,653.13
2012-02,596.23
2012-03,683.55
2012-04,1300.56
2012-05,431.32
2012-06,375.53
2012-07,216.87
2012-08,522.54
2012-09,889.68
2012-10,481.17
2012-11,603
2012-12,527
2013-01,519.68
2013-02,410.61
2013-03,524.72
2013-04,400.84
2013-05,454.56
2013-06,319.86
2013-07,417.64
2013-08,970.98
2013-09,1130.89
2013-10,779.59
2013-11,707.57
2013-12,594.2
2014-01,624.43
2014-02,402.43
2014-03,569.37
2014-04,544.88
2014-05,489
2014-06,549.91
2014-07,1116.33
2014-08,1347.94
2014-09,1045.18
2014-10,891.72
2014-11,713.1
2014-12,728.96
2015-01,549.58
2015-02,410.61
2015-03,396.81
2015-04,330.84
2015-05,365.51
2015-06,497.63
2015-07,521.19
2015-08,1092.39
2015-09,1394.54
2015-10,836.68
2015-11,647.35
2015-12,606.07
2016-01,450.63
2016-02,405.73
2016-03,277.05
2016-04,319.44
2016-05,159
2016-06,882.76
2016-07,1386.1
2016-08,850.94
2016-09,868.78
2016-10,608.79
2016-11,598.08
2016-12,611
