Month,ACTUAL GENERATION
2011-01,653.22
2011-02,541.96
2011-03,490.94
2011-04,416
2011-05,334
2011-06,190
2011-07,286
2011-08,814
2011-09,338.73
2011-10,430.43
2011-11,353.77
2011-12,446.36
2012-01,629.13
2012-02,572.23
2012-03,659.55
2012-04,1276.56
2012-05,407.32
2012-06,351.53
2012-07,192.87
2012-08,498.54
2012-09,865.68
2012-10,457.17
2012-11,579
2012-12,503
2013-01,495.68
2013-02,386.61
2013-03,500.72
2013-04,376.84
2013-05,430.56
2013-06,295.86
2013-07,393.64
2013-08,946.98
2013-09,1106.89
2013-10,755.59
2013-11,683.57
2013-12,570.2
2014-01,600.43
2014-02,378.43
2014-03,545.37
2014-04,520.88
2014-05,465
2014-06,525.91
2014-07,1092.33
2014-08,1323.94
2014-09,1021.18
2014-10,867.72
2014-11,689.1
2014-12,704.96
2015-01,525.58
2015-02,386.61
2015-03,372.81
2015-04,306.84
2015-05,341.51
2015-06,473.63
2015-07,497.19
2015-08,1068.39
2015-09,1370.54
2015-10,812.68
2015-11,623.35
2015-12,582.07
2016-01,426.63
2016-02,381.73
2016-03,253.05
2016-04,295.44
2016-05,135
2016-06,858.76
2016-07,1362.1
2016-08,826.94
2016-09,844.78
2016-10,584.79
2016-11,574.08
2016-12,587
