Month,ACTUAL GENERATION
2011-01,687.22
2011-02,575.96
2011-03,524.94
2011-04,450
2011-05,368
2011-06,224
2011-07,320
2011-08,848
2011-09,372.73
2011-10,464.43
2011-11,387.77
2011-12,480.36
2012-01,663.13
2012-02,606.23
2012-03,693.55
2012-04,1310.56
2012-05,441.32
2012-06,385.53
2012-07,226.87
2012-08,532.54
2012-09,899.68
2012-10,491.17
2012-11,613
2012-12,537
2013-01,529.68
2013-02,420.61
2013-03,534.72
2013-04,410.84
2013-05,464.56
2013-06,329.86
2013-07,427.64
2013-08,980.98
2013-09,1140.89
2013-10,789.59
2013-11,717.57
2013-12,604.2
2014-01,634.43
2014-02,412.43
2014-03,579.37
2014-04,554.88
2014-05,499
2014-06,559.91
2014-07,1126.33
2014-08,1357.94
2014-09,1055.18
2014-10,901.72
2014-11,723.1
2014-12,738.96
2015-01,559.58
2015-02,420.61
2015-03,406.81
2015-04,340.84
2015-05,375.51
2015-06,507.63
2015-07,531.19
2015-08,1102.39
2015-09,1404.54
2015-10,846.68
2015-11,657.35
2015-12,616.07
2016-01,460.63
2016-02,415.73
2016-03,287.05
2016-04,329.44
2016-05,169
2016-06,892.76
2016-07,1396.1
2016-08,860.94
2016-09,878.78
2016-10,618.79
2016-11,608.08
2016-12,621
