Month,ACTUAL GENERATION
2011-01,742.22
2011-02,630.96
2011-03,579.94
2011-04,505
2011-05,423
2011-06,279
2011-07,375
2011-08,903
2011-09,427.73
2011-10,519.43
2011-11,442.77
2011-12,535.36
2012-01,718.13
2012-02,661.23
2012-03,748.55
2012-04,1365.56
2012-05,496.32
2012-06,440.53
2012-07,281.87
2012-08,587.54
2012-09,954.68
2012-10,546.17
2012-11,668
2012-12,592
2013-01,584.68
2013-02,475.61
2013-03,589.72
2013-04,465.84
2013-05,519.56
2013-06,384.86
2013-07,482.64
2013-08,1035.98
2013-09,1195.89
2013-10,844.59
2013-11,772.57
2013-12,659.2
2014-01,689.43
2014-02,467.43
2014-03,634.37
2014-04,609.88
2014-05,554
2014-06,614.91
2014-07,1181.33
2014-08,1412.94
2014-09,1110.18
2014-10,956.72
2014-11,778.1
2014-12,793.96
2015-01,614.58
2015-02,475.61
2015-03,461.81
2015-04,395.84
2015-05,430.51
2015-06,562.63
2015-07,586.19
2015-08,1157.39
2015-09,1459.54
2015-10,901.68
2015-11,712.35
2015-12,671.07
2016-01,515.63
2016-02,470.73
2016-03,342.05
2016-04,384.44
2016-05,224
2016-06,947.76
2016-07,1451.1
2016-08,915.94
2016-09,933.78
2016-10,673.79
2016-11,663.08
2016-12,676
