Month,ACTUAL GENERATION
2011-01,613.22
2011-02,501.96
2011-03,450.94
2011-04,376
2011-05,294
2011-06,150
2011-07,246
2011-08,774
2011-09,298.73
2011-10,390.43
2011-11,313.77
2011-12,406.36
2012-01,589.13
2012-02,532.23
2012-03,619.55
2012-04,1236.56
2012-05,367.32
2012-06,311.53
2012-07,152.87
2012-08,458.54
2012-09,825.68
2012-10,417.17
2012-11,539
2012-12,463
2013-01,455.68
2013-02,346.61
2013-03,460.72
2013-04,336.84
2013-05,390.56
2013-06,255.86
2013-07,353.64
2013-08,906.98
2013-09,1066.89
2013-10,715.59
2013-11,643.57
2013-12,530.2
2014-01,560.43
2014-02,338.43
2014-03,505.37
2014-04,480.88
2014-05,425
2014-06,485.91
2014-07,1052.33
2014-08,1283.94
2014-09,981.18
2014-10,827.72
2014-11,649.1
2014-12,664.96
2015-01,485.58
2015-02,346.61
2015-03,332.81
2015-04,266.84
2015-05,301.51
2015-06,433.63
2015-07,457.19
2015-08,1028.39
2015-09,1330.54
2015-10,772.68
2015-11,583.35
2015-12,542.07
2016-01,386.63
2016-02,341.73
2016-03,213.05
2016-04,255.44
2016-05,95
2016-06,818.76
2016-07,1322.1
2016-08,786.94
2016-09,804.78
2016-10,544.79
2016-11,534.08
2016-12,547
2017-01,515
2017-02,384
2017-03,297
2017-04,245
2017-05,237
2017-06,162
2017-07,494
2017-08,660
2017-09,802
2017-10,903
2017-11,576
2017-12,489
