Month,ACTUAL GENERATION
2011-01,720.22
2011-02,608.96
2011-03,557.94
2011-04,483
2011-05,401
2011-06,257
2011-07,353
2011-08,881
2011-09,405.73
2011-10,497.43
2011-11,420.77
2011-12,513.36
2012-01,696.13
2012-02,639.23
2012-03,726.55
2012-04,1343.56
2012-05,474.32
2012-06,418.53
2012-07,259.87
2012-08,565.54
2012-09,932.68
2012-10,524.17
2012-11,646
2012-12,570
2013-01,562.68
2013-02,453.61
2013-03,567.72
2013-04,443.84
2013-05,497.56
2013-06,362.86
2013-07,460.64
2013-08,1013.98
2013-09,1173.89
2013-10,822.59
2013-11,750.57
2013-12,637.2
2014-01,667.43
2014-02,445.43
2014-03,612.37
2014-04,587.88
2014-05,532
2014-06,592.91
2014-07,1159.33
2014-08,1390.94
2014-09,1088.18
2014-10,934.72
2014-11,756.1
2014-12,771.96
2015-01,592.58
2015-02,453.61
2015-03,439.81
2015-04,373.84
2015-05,408.51
2015-06,540.63
2015-07,564.19
2015-08,1135.39
2015-09,1437.54
2015-10,879.68
2015-11,690.35
2015-12,649.07
2016-01,493.63
2016-02,448.73
2016-03,320.05
2016-04,362.44
2016-05,202
2016-06,925.76
2016-07,1429.1
2016-08,893.94
2016-09,911.78
2016-10,651.79
2016-11,641.08
2016-12,654
2017-01,621
2017-02,494
2017-03,398
2017-04,358
2017-05,344
2017-06,284
2017-07,585
2017-08,755
2017-09,929
2017-10,1032
2017-11,694
2017-12,598
