Month,ACTUAL GENERATION
2011-01,598.22
2011-02,486.96
2011-03,435.94
2011-04,361
2011-05,279
2011-06,135
2011-07,231
2011-08,759
2011-09,283.73
2011-10,375.43
2011-11,298.77
2011-12,391.36
2012-01,574.13
2012-02,517.23
2012-03,604.55
2012-04,1221.56
2012-05,352.32
2012-06,296.53
2012-07,137.87
2012-08,443.54
2012-09,810.68
2012-10,402.17
2012-11,524
2012-12,448
2013-01,440.68
2013-02,331.61
2013-03,445.72
2013-04,321.84
2013-05,375.56
2013-06,240.86
2013-07,338.64
2013-08,891.98
2013-09,1051.89
2013-10,700.59
2013-11,628.57
2013-12,515.2
2014-01,545.43
2014-02,323.43
2014-03,490.37
2014-04,465.88
2014-05,410
2014-06,470.91
2014-07,1037.33
2014-08,1268.94
2014-09,966.18
2014-10,812.72
2014-11,634.1
2014-12,649.96
2015-01,470.58
2015-02,331.61
2015-03,317.81
2015-04,251.84
2015-05,286.51
2015-06,418.63
2015-07,442.19
2015-08,1013.39
2015-09,1315.54
2015-10,757.68
2015-11,568.35
2015-12,527.07
2016-01,371.63
2016-02,326.73
2016-03,198.05
2016-04,240.44
2016-05,80
2016-06,803.76
2016-07,1307.1
2016-08,771.94
2016-09,789.78
2016-10,529.79
2016-11,519.08
2016-12,532
2017-01,501
2017-02,368
2017-03,283
2017-04,229
2017-05,222
2017-06,143
2017-07,482
2017-08,648
2017-09,783
2017-10,884
2017-11,559
2017-12,474
