Month,ACTUAL GENERATION
2011-01,753.22
2011-02,641.96
2011-03,590.94
2011-04,516
2011-05,434
2011-06,290
2011-07,386
2011-08,914
2011-09,438.73
2011-10,530.43
2011-11,453.77
2011-12,546.36
2012-01,729.13
2012-02,672.23
2012-03,759.55
2012-04,1376.56
2012-05,507.32
2012-06,451.53
2012-07,292.87
2012-08,598.54
2012-09,965.68
2012-10,557.17
2012-11,679
2012-12,603
2013-01,595.68
2013-02,486.61
2013-03,600.72
2013-04,476.84
2013-05,530.56
2013-06,395.86
2013-07,493.64
2013-08,1046.98
2013-09,1206.89
2013-10,855.59
2013-11,783.57
2013-12,670.2
2014-01,700.43
2014-02,478.43
2014-03,645.37
2014-04,620.88
2014-05,565
2014-06,625.91
2014-07,1192.33
2014-08,1423.94
2014-09,1121.18
2014-10,967.72
2014-11,789.1
2014-12,804.96
2015-01,625.58
2015-02,486.61
2015-03,472.81
2015-04,406.84
2015-05,441.51
2015-06,573.63
2015-07,597.19
2015-08,1168.39
2015-09,1470.54
2015-10,912.68
2015-11,723.35
2015-12,682.07
2016-01,526.63
2016-02,481.73
2016-03,353.05
2016-04,395.44
2016-05,235
2016-06,958.76
2016-07,1462.1
2016-08,926.94
2016-09,944.78
2016-10,684.79
2016-11,674.08
2016-12,687
2017-01,654
2017-02,527
2017-03,430
2017-04,392
2017-05,377
2017-06,320
2017-07,614
2017-08,785
2017-09,967
2017-10,1070
2017-11,730
2017-12,632
