Month,ACTUAL GENERATION
2011-01,743.22
2011-02,631.96
2011-03,580.94
2011-04,506
2011-05,424
2011-06,280
2011-07,376
2011-08,904
2011-09,428.73
2011-10,520.43
2011-11,443.77
2011-12,536.36
2012-01,719.13
2012-02,662.23
2012-03,749.55
2012-04,1366.56
2012-05,497.32
2012-06,441.53
2012-07,282.87
2012-08,588.54
2012-09,955.68
2012-10,547.17
2012-11,669
2012-12,593
2013-01,585.68
2013-02,476.61
2013-03,590.72
2013-04,466.84
2013-05,520.56
2013-06,385.86
2013-07,483.64
2013-08,1036.98
2013-09,1196.89
2013-10,845.59
2013-11,773.57
2013-12,660.2
2014-01,690.43
2014-02,468.43
2014-03,635.37
2014-04,610.88
2014-05,555
2014-06,615.91
2014-07,1182.33
2014-08,1413.94
2014-09,1111.18
2014-10,957.72
2014-11,779.1
2014-12,794.96
2015-01,615.58
2015-02,476.61
2015-03,462.81
2015-04,396.84
2015-05,431.51
2015-06,563.63
2015-07,587.19
2015-08,1158.39
2015-09,1460.54
2015-10,902.68
2015-11,713.35
2015-12,672.07
2016-01,516.63
2016-02,471.73
2016-03,343.05
2016-04,385.44
2016-05,225
2016-06,948.76
2016-07,1452.1
2016-08,916.94
2016-09,934.78
2016-10,674.79
2016-11,664.08
2016-12,677
2017-01,644
2017-02,517
2017-03,420
2017-04,382
2017-05,367
2017-06,309
2017-07,605
2017-08,776
2017-09,955
2017-10,1059
2017-11,719
2017-12,622
