Month,ACTUAL GENERATION
2011-01,665.22
2011-02,553.96
2011-03,502.94
2011-04,428
2011-05,346
2011-06,202
2011-07,298
2011-08,826
2011-09,350.73
2011-10,442.43
2011-11,365.77
2011-12,458.36
2012-01,641.13
2012-02,584.23
2012-03,671.55
2012-04,1288.56
2012-05,419.32
2012-06,363.53
2012-07,204.87
2012-08,510.54
2012-09,877.68
2012-10,469.17
2012-11,591
2012-12,515
2013-01,507.68
2013-02,398.61
2013-03,512.72
2013-04,388.84
2013-05,442.56
2013-06,307.86
2013-07,405.64
2013-08,958.98
2013-09,1118.89
2013-10,767.59
2013-11,695.57
2013-12,582.2
2014-01,612.43
2014-02,390.43
2014-03,557.37
2014-04,532.88
2014-05,477
2014-06,537.91
2014-07,1104.33
2014-08,1335.94
2014-09,1033.18
2014-10,879.72
2014-11,701.1
2014-12,716.96
2015-01,537.58
2015-02,398.61
2015-03,384.81
2015-04,318.84
2015-05,353.51
2015-06,485.63
2015-07,509.19
2015-08,1080.39
2015-09,1382.54
2015-10,824.68
2015-11,635.35
2015-12,594.07
2016-01,438.63
2016-02,393.73
2016-03,265.05
2016-04,307.44
2016-05,147
2016-06,870.76
2016-07,1374.1
2016-08,838.94
2016-09,856.78
2016-10,596.79
2016-11,586.08
2016-12,599
