Month,ACTUAL GENERATION
2011-01,585.22
2011-02,473.96
2011-03,422.94
2011-04,348
2011-05,266
2011-06,122
2011-07,218
2011-08,746
2011-09,270.73
2011-10,362.43
2011-11,285.77
2011-12,378.36
2012-01,561.13
2012-02,504.23
2012-03,591.55
2012-04,1208.56
2012-05,339.32
2012-06,283.53
2012-07,124.87
2012-08,430.54
2012-09,797.68
2012-10,389.17
2012-11,511
2012-12,435
2013-01,427.68
2013-02,318.61
2013-03,432.72
2013-04,308.84
2013-05,362.56
2013-06,227.86
2013-07,325.64
2013-08,878.98
2013-09,1038.89
2013-10,687.59
2013-11,615.57
2013-12,502.2
2014-01,532.43
2014-02,310.43
2014-03,477.37
2014-04,452.88
2014-05,397
2014-06,457.91
2014-07,1024.33
2014-08,1255.94
2014-09,953.18
2014-10,799.72
2014-11,621.1
2014-12,636.96
2015-01,457.58
2015-02,318.61
2015-03,304.81
2015-04,238.84
2015-05,273.51
2015-06,405.63
2015-07,429.19
2015-08,1000.39
2015-09,1302.54
2015-10,744.68
2015-11,555.35
2015-12,514.07
2016-01,358.63
2016-02,313.73
2016-03,185.05
2016-04,227.44
2016-05,67
2016-06,790.76
2016-07,1294.1
2016-08,758.94
2016-09,776.78
2016-10,516.79
2016-11,506.08
2016-12,519
