Month,ACTUAL GENERATION
2011-01,736.22
2011-02,624.96
2011-03,573.94
2011-04,499
2011-05,417
2011-06,273
2011-07,369
2011-08,897
2011-09,421.73
2011-10,513.43
2011-11,436.77
2011-12,529.36
2012-01,712.13
2012-02,655.23
2012-03,742.55
2012-04,1359.56
2012-05,490.32
2012-06,434.53
2012-07,275.87
2012-08,581.54
2012-09,948.68
2012-10,540.17
2012-11,662
2012-12,586
2013-01,578.68
2013-02,469.61
2013-03,583.72
2013-04,459.84
2013-05,513.56
2013-06,378.86
2013-07,476.64
2013-08,1029.98
2013-09,1189.89
2013-10,838.59
2013-11,766.57
2013-12,653.2
2014-01,683.43
2014-02,461.43
2014-03,628.37
2014-04,603.88
2014-05,548
2014-06,608.91
2014-07,1175.33
2014-08,1406.94
2014-09,1104.18
2014-10,950.72
2014-11,772.1
2014-12,787.96
2015-01,608.58
2015-02,469.61
2015-03,455.81
2015-04,389.84
2015-05,424.51
2015-06,556.63
2015-07,580.19
2015-08,1151.39
2015-09,1453.54
2015-10,895.68
2015-11,706.35
2015-12,665.07
2016-01,509.63
2016-02,464.73
2016-03,336.05
2016-04,378.44
2016-05,218
2016-06,941.76
2016-07,1445.1
2016-08,909.94
2016-09,927.78
2016-10,667.79
2016-11,657.08
2016-12,670
2017-01,637
2017-02,510
2017-03,414
2017-04,375
2017-05,360
2017-06,302
2017-07,599
2017-08,770
2017-09,947
2017-10,1050
2017-11,712
2017-12,615
