Month,ACTUAL GENERATION
2011-01,865.22
2011-02,753.96
2011-03,702.94
2011-04,628
2011-05,546
2011-06,402
2011-07,498
2011-08,1026
2011-09,550.73
2011-10,642.43
2011-11,565.77
2011-12,658.36
2012-01,841.13
2012-02,784.23
2012-03,871.55
2012-04,1488.56
2012-05,619.32
2012-06,563.53
2012-07,404.87
2012-08,710.54
2012-09,1077.68
2012-10,669.17
2012-11,791
2012-12,715
2013-01,707.68
2013-02,598.61
2013-03,712.72
2013-04,588.84
2013-05,642.56
2013-06,507.86
2013-07,605.64
2013-08,1158.98
2013-09,1318.89
2013-10,967.59
2013-11,895.57
2013-12,782.2
2014-01,812.43
2014-02,590.43
2014-03,757.37
2014-04,732.88
2014-05,677
2014-06,737.91
2014-07,1304.33
2014-08,1535.94
2014-09,1233.18
2014-10,1079.72
2014-11,901.1
2014-12,916.96
2015-01,737.58
2015-02,598.61
2015-03,584.81
2015-04,518.84
2015-05,553.51
2015-06,685.63
2015-07,709.19
2015-08,1280.39
2015-09,1582.54
2015-10,1024.68
2015-11,835.35
2015-12,794.07
2016-01,638.63
2016-02,593.73
2016-03,465.05
2016-04,507.44
2016-05,347
2016-06,1070.76
2016-07,1574.1
2016-08,1038.94
2016-09,1056.78
2016-10,796.79
2016-11,786.08
2016-12,799
2017-01,765
2017-02,641
2017-03,538
2017-04,508
2017-05,489
2017-06,439
2017-07,717
2017-08,892
2017-09,1092
2017-10,1197
2017-11,849
2017-12,745
