Month,ACTUAL GENERATION
2011-01,863.22
2011-02,751.96
2011-03,700.94
2011-04,626
2011-05,544
2011-06,400
2011-07,496
2011-08,1024
2011-09,548.73
2011-10,640.43
2011-11,563.77
2011-12,656.36
2012-01,839.13
2012-02,782.23
2012-03,869.55
2012-04,1486.56
2012-05,617.32
2012-06,561.53
2012-07,402.87
2012-08,708.54
2012-09,1075.68
2012-10,667.17
2012-11,789
2012-12,713
2013-01,705.68
2013-02,596.61
2013-03,710.72
2013-04,586.84
2013-05,640.56
2013-06,505.86
2013-07,603.64
2013-08,1156.98
2013-09,1316.89
2013-10,965.59
2013-11,893.57
2013-12,780.2
2014-01,810.43
2014-02,588.43
2014-03,755.37
2014-04,730.88
2014-05,675
2014-06,735.91
2014-07,1302.33
2014-08,1533.94
2014-09,1231.18
2014-10,1077.72
2014-11,899.1
2014-12,914.96
2015-01,735.58
2015-02,596.61
2015-03,582.81
2015-04,516.84
2015-05,551.51
2015-06,683.63
2015-07,707.19
2015-08,1278.39
2015-09,1580.54
2015-10,1022.68
2015-11,833.35
2015-12,792.07
2016-01,636.63
2016-02,591.73
2016-03,463.05
2016-04,505.44
2016-05,345
2016-06,1068.76
2016-07,1572.1
2016-08,1036.94
2016-09,1054.78
2016-10,794.79
2016-11,784.08
2016-12,797
