Month,ACTUAL GENERATION
2011-01,835.22
2011-02,723.96
2011-03,672.94
2011-04,598
2011-05,516
2011-06,372
2011-07,468
2011-08,996
2011-09,520.73
2011-10,612.43
2011-11,535.77
2011-12,628.36
2012-01,811.13
2012-02,754.23
2012-03,841.55
2012-04,1458.56
2012-05,589.32
2012-06,533.53
2012-07,374.87
2012-08,680.54
2012-09,1047.68
2012-10,639.17
2012-11,761
2012-12,685
2013-01,677.68
2013-02,568.61
2013-03,682.72
2013-04,558.84
2013-05,612.56
2013-06,477.86
2013-07,575.64
2013-08,1128.98
2013-09,1288.89
2013-10,937.59
2013-11,865.57
2013-12,752.2
2014-01,782.43
2014-02,560.43
2014-03,727.37
2014-04,702.88
2014-05,647
2014-06,707.91
2014-07,1274.33
2014-08,1505.94
2014-09,1203.18
2014-10,1049.72
2014-11,871.1
2014-12,886.96
2015-01,707.58
2015-02,568.61
2015-03,554.81
2015-04,488.84
2015-05,523.51
2015-06,655.63
2015-07,679.19
2015-08,1250.39
2015-09,1552.54
2015-10,994.68
2015-11,805.35
2015-12,764.07
2016-01,608.63
2016-02,563.73
2016-03,435.05
2016-04,477.44
2016-05,317
2016-06,1040.76
2016-07,1544.1
2016-08,1008.94
2016-09,1026.78
2016-10,766.79
2016-11,756.08
2016-12,769
2017-01,735
2017-02,610
2017-03,509
2017-04,477
2017-05,459
2017-06,407
2017-07,689
2017-08,863
2017-09,1059
2017-10,1163
2017-11,818
2017-12,715
