Month,ACTUAL GENERATION
2011-01,714.22
2011-02,602.96
2011-03,551.94
2011-04,477
2011-05,395
2011-06,251
2011-07,347
2011-08,875
2011-09,399.73
2011-10,491.43
2011-11,414.77
2011-12,507.36
2012-01,690.13
2012-02,633.23
2012-03,720.55
2012-04,1337.56
2012-05,468.32
2012-06,412.53
2012-07,253.87
2012-08,559.54
2012-09,926.68
2012-10,518.17
2012-11,640
2012-12,564
2013-01,556.68
2013-02,447.61
2013-03,561.72
2013-04,437.84
2013-05,491.56
2013-06,356.86
2013-07,454.64
2013-08,1007.98
2013-09,1167.89
2013-10,816.59
2013-11,744.57
2013-12,631.2
2014-01,661.43
2014-02,439.43
2014-03,606.37
2014-04,581.88
2014-05,526
2014-06,586.91
2014-07,1153.33
2014-08,1384.94
2014-09,1082.18
2014-10,928.72
2014-11,750.1
2014-12,765.96
2015-01,586.58
2015-02,447.61
2015-03,433.81
2015-04,367.84
2015-05,402.51
2015-06,534.63
2015-07,558.19
2015-08,1129.39
2015-09,1431.54
2015-10,873.68
2015-11,684.35
2015-12,643.07
2016-01,487.63
2016-02,442.73
2016-03,314.05
2016-04,356.44
2016-05,196
2016-06,919.76
2016-07,1423.1
2016-08,887.94
2016-09,905.78
2016-10,645.79
2016-11,635.08
2016-12,648
