Month,ACTUAL GENERATION
2011-01,776.22
2011-02,664.96
2011-03,613.94
2011-04,539
2011-05,457
2011-06,313
2011-07,409
2011-08,937
2011-09,461.73
2011-10,553.43
2011-11,476.77
2011-12,569.36
2012-01,752.13
2012-02,695.23
2012-03,782.55
2012-04,1399.56
2012-05,530.32
2012-06,474.53
2012-07,315.87
2012-08,621.54
2012-09,988.68
2012-10,580.17
2012-11,702
2012-12,626
2013-01,618.68
2013-02,509.61
2013-03,623.72
2013-04,499.84
2013-05,553.56
2013-06,418.86
2013-07,516.64
2013-08,1069.98
2013-09,1229.89
2013-10,878.59
2013-11,806.57
2013-12,693.2
2014-01,723.43
2014-02,501.43
2014-03,668.37
2014-04,643.88
2014-05,588
2014-06,648.91
2014-07,1215.33
2014-08,1446.94
2014-09,1144.18
2014-10,990.72
2014-11,812.1
2014-12,827.96
2015-01,648.58
2015-02,509.61
2015-03,495.81
2015-04,429.84
2015-05,464.51
2015-06,596.63
2015-07,620.19
2015-08,1191.39
2015-09,1493.54
2015-10,935.68
2015-11,746.35
2015-12,705.07
2016-01,549.63
2016-02,504.73
2016-03,376.05
2016-04,418.44
2016-05,258
2016-06,981.76
2016-07,1485.1
2016-08,949.94
2016-09,967.78
2016-10,707.79
2016-11,697.08
2016-12,710
2017-01,677
2017-02,551
2017-03,452
2017-04,416
2017-05,400
2017-06,345
2017-07,635
2017-08,807
2017-09,993
2017-10,1097
2017-11,755
2017-12,655
