Month,ACTUAL GENERATION
2011-01,750.22
2011-02,638.96
2011-03,587.94
2011-04,513
2011-05,431
2011-06,287
2011-07,383
2011-08,911
2011-09,435.73
2011-10,527.43
2011-11,450.77
2011-12,543.36
2012-01,726.13
2012-02,669.23
2012-03,756.55
2012-04,1373.56
2012-05,504.32
2012-06,448.53
2012-07,289.87
2012-08,595.54
2012-09,962.68
2012-10,554.17
2012-11,676
2012-12,600
2013-01,592.68
2013-02,483.61
2013-03,597.72
2013-04,473.84
2013-05,527.56
2013-06,392.86
2013-07,490.64
2013-08,1043.98
2013-09,1203.89
2013-10,852.59
2013-11,780.57
2013-12,667.2
2014-01,697.43
2014-02,475.43
2014-03,642.37
2014-04,617.88
2014-05,562
2014-06,622.91
2014-07,1189.33
2014-08,1420.94
2014-09,1118.18
2014-10,964.72
2014-11,786.1
2014-12,801.96
2015-01,622.58
2015-02,483.61
2015-03,469.81
2015-04,403.84
2015-05,438.51
2015-06,570.63
2015-07,594.19
2015-08,1165.39
2015-09,1467.54
2015-10,909.68
2015-11,720.35
2015-12,679.07
2016-01,523.63
2016-02,478.73
2016-03,350.05
2016-04,392.44
2016-05,232
2016-06,955.76
2016-07,1459.1
2016-08,923.94
2016-09,941.78
2016-10,681.79
2016-11,671.08
2016-12,684
2017-01,651
2017-02,524
2017-03,427
2017-04,389
2017-05,374
2017-06,317
2017-07,611
2017-08,783
2017-09,963
2017-10,1067
2017-11,727
2017-12,629
