Month,ACTUAL GENERATION
2011-01,822.22
2011-02,710.96
2011-03,659.94
2011-04,585
2011-05,503
2011-06,359
2011-07,455
2011-08,983
2011-09,507.73
2011-10,599.43
2011-11,522.77
2011-12,615.36
2012-01,798.13
2012-02,741.23
2012-03,828.55
2012-04,1445.56
2012-05,576.32
2012-06,520.53
2012-07,361.87
2012-08,667.54
2012-09,1034.68
2012-10,626.17
2012-11,748
2012-12,672
2013-01,664.68
2013-02,555.61
2013-03,669.72
2013-04,545.84
2013-05,599.56
2013-06,464.86
2013-07,562.64
2013-08,1115.98
2013-09,1275.89
2013-10,924.59
2013-11,852.57
2013-12,739.2
2014-01,769.43
2014-02,547.43
2014-03,714.37
2014-04,689.88
2014-05,634
2014-06,694.91
2014-07,1261.33
2014-08,1492.94
2014-09,1190.18
2014-10,1036.72
2014-11,858.1
2014-12,873.96
2015-01,694.58
2015-02,555.61
2015-03,541.81
2015-04,475.84
2015-05,510.51
2015-06,642.63
2015-07,666.19
2015-08,1237.39
2015-09,1539.54
2015-10,981.68
2015-11,792.35
2015-12,751.07
2016-01,595.63
2016-02,550.73
2016-03,422.05
2016-04,464.44
2016-05,304
2016-06,1027.76
2016-07,1531.1
2016-08,995.94
2016-09,1013.78
2016-10,753.79
2016-11,743.08
2016-12,756
