Month,STATE,SECTOR,CATEGORY,ACTUAL GENERATION
2011-01,MADHYA PRADESH,STATE,HYDRO,665.22
2011-02,MADHYA PRADESH,STATE,HYDRO,553.96
2011-03,MADHYA PRADESH,STATE,HYDRO,502.94
2011-04,MADHYA PRADESH,STATE,HYDRO,428
2011-05,MADHYA PRADESH,STATE,HYDRO,346
2011-06,MADHYA PRADESH,STATE,HYDRO,202
2011-07,MADHYA PRADESH,STATE,HYDRO,298
2011-08,MADHYA PRADESH,STATE,HYDRO,826
2011-09,MADHYA PRADESH,STATE,HYDRO,350.73
2011-10,MADHYA PRADESH,STATE,HYDRO,442.43
2011-11,MADHYA PRADESH,STATE,HYDRO,365.77
2011-12,MADHYA PRADESH,STATE,HYDRO,458.36
2012-01,MADHYA PRADESH,STATE,HYDRO,641.13
2012-02,MADHYA PRADESH,STATE,HYDRO,584.23
2012-03,MADHYA PRADESH,STATE,HYDRO,671.55
2012-04,MADHYA PRADESH,STATE,HYDRO,1288.56
2012-05,MADHYA PRADESH,STATE,HYDRO,419.32
2012-06,MADHYA PRADESH,STATE,HYDRO,363.53
2012-07,MADHYA PRADESH,STATE,HYDRO,204.87
2012-08,MADHYA PRADESH,STATE,HYDRO,510.54
2012-09,MADHYA PRADESH,STATE,HYDRO,877.68
2012-10,MADHYA PRADESH,STATE,HYDRO,469.17
2012-11,MADHYA PRADESH,STATE,HYDRO,591
2012-12,MADHYA PRADESH,STATE,HYDRO,515
2013-01,MADHYA PRADESH,STATE,HYDRO,507.68
2013-02,MADHYA PRADESH,STATE,HYDRO,398.61
2013-03,MADHYA PRADESH,STATE,HYDRO,512.72
2013-04,MADHYA PRADESH,STATE,HYDRO,388.84
2013-05,MADHYA PRADESH,STATE,HYDRO,442.56
2013-06,MADHYA PRADESH,STATE,HYDRO,307.86
2013-07,MADHYA PRADESH,STATE,HYDRO,405.64
2013-08,MADHYA PRADESH,STATE,HYDRO,958.98
2013-09,MADHYA PRADESH,STATE,HYDRO,1118.89
2013-10,MADHYA PRADESH,STATE,HYDRO,767.59
2013-11,MADHYA PRADESH,STATE,HYDRO,695.57
2013-12,MADHYA PRADESH,STATE,HYDRO,582.2
2014-01,MADHYA PRADESH,STATE,HYDRO,612.43
2014-02,MADHYA PRADESH,STATE,HYDRO,390.43
2014-03,MADHYA PRADESH,STATE,HYDRO,557.37
2014-04,MADHYA PRADESH,STATE,HYDRO,532.88
2014-05,MADHYA PRADESH,STATE,HYDRO,477
2014-06,MADHYA PRADESH,STATE,HYDRO,537.91
2014-07,MADHYA PRADESH,STATE,HYDRO,1104.33
2014-08,MADHYA PRADESH,STATE,HYDRO,1335.94
2014-09,MADHYA PRADESH,STATE,HYDRO,1033.18
2014-10,MADHYA PRADESH,STATE,HYDRO,879.72
2014-11,MADHYA PRADESH,STATE,HYDRO,701.1
2014-12,MADHYA PRADESH,STATE,HYDRO,716.96
2015-01,MADHYA PRADESH,STATE,HYDRO,537.58
2015-02,MADHYA PRADESH,STATE,HYDRO,398.61
2015-03,MADHYA PRADESH,STATE,HYDRO,384.81
2015-04,MADHYA PRADESH,STATE,HYDRO,318.84
2015-05,MADHYA PRADESH,STATE,HYDRO,353.51
2015-06,MADHYA PRADESH,STATE,HYDRO,485.63
2015-07,MADHYA PRADESH,STATE,HYDRO,509.19
2015-08,MADHYA PRADESH,STATE,HYDRO,1080.39
2015-09,MADHYA PRADESH,STATE,HYDRO,1382.54
2015-10,MADHYA PRADESH,STATE,HYDRO,824.68
2015-11,MADHYA PRADESH,CENTRAL,HYDRO,635.35
2015-12,MADHYA PRADESH,STATE,HYDRO,594.07
2016-01,MADHYA PRADESH,STATE,HYDRO,438.63
2016-02,MADHYA PRADESH,STATE,HYDRO,393.73
2016-03,MADHYA PRADESH,STATE,HYDRO,265.05
2016-04,MADHYA PRADESH,STATE,HYDRO,307.44
2016-05,MADHYA PRADESH,STATE,HYDRO,147
2016-06,MADHYA PRADESH,STATE,HYDRO,870.76
2016-07,MADHYA PRADESH,STATE,HYDRO,1374.1
2016-08,MADHYA PRADESH,STATE,HYDRO,838.94
2016-09,MADHYA PRADESH,PVT,HYDRO,856.78
2016-10,MADHYA PRADESH,CENTRAL,HYDRO,596.79
2016-11,MADHYA PRADESH,STATE,HYDRO,586.08
2016-12,MADHYA PRADESH,STATE,HYDRO,599
