REGION ID,Month,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG2,2011-01,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,56.9,315,50,665.22
REG2,2011-02,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,30.1,315,40,553.96
REG2,2011-03,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,44.54,315,40,502.94
REG2,2011-04,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,64.27,315,20.83,428
REG2,2011-05,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,79.42,315,20.83,346
REG2,2011-06,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,72.96,315,20.83,202
REG2,2011-07,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,41.38,315,50,298
REG2,2011-08,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,104.32,315,95.83,826
REG2,2011-09,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,162.99,315,133.33,350.73
REG2,2011-10,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,179.38,315,133.33,442.43
REG2,2011-11,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,140.98,315,133.33,365.77
REG2,2011-12,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,141.44,315,83.33,458.36
REG2,2012-01,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,98.58,315,41.67,641.13
REG2,2012-02,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,30.1,315,40,584.23
REG2,2012-03,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,147.59,315,33.33,671.55
REG2,2012-04,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,54.09,315,85,1288.56
REG2,2012-05,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,95.11,315,43,419.32
REG2,2012-06,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,113.91,315,43,363.53
REG2,2012-07,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,163.44,315,51,204.87
REG2,2012-08,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,151.65,315,98,510.54
REG2,2012-09,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,160.53,315,136,877.68
REG2,2012-10,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,168.79,315,136,469.17
REG2,2012-11,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,145.57,315,136,591
REG2,2012-12,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,131.05,315,85,515
REG2,2013-01,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,127.23,315,34,507.68
REG2,2013-02,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,81.68,315,26,398.61
REG2,2013-03,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,107.32,315,27,512.72
REG2,2013-04,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,115.55,315,40,388.84
REG2,2013-05,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,121.27,315,39,442.56
REG2,2013-06,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,126.8,315,15,307.86
